ID,Name,Pos,Age,Height,Bats,Throws,Cntct,Gap,Pow,Eye,Ks,BABIP,Cntct_R,Gap_R,Pow_R,Eye_R,Ks_R,BABIP_R,Cntct_L,Gap_L,Pow_L,Eye_L,Ks_L,BABIP_L,PotCntct,PotGap,PotPow,PotEye,PotKs,PotBABIP,IFR,IFE,IFA,TDP,OFR,OFE,OFA,CBlk,CArm,CFrm,P,C,1B,2B,3B,SS,LF,CF,RF,PotP,PotC,Pot1B,Pot2B,Pot3B,PotSS,PotLF,PotCF,PotRF,Speed,StlRt,Steal,Run,SacBunt,BuntHit,Stf,Mov,HRA,PBABIP,Ctrl_R,Stf_R,Mov_R,HRA_R,PBABIP_R,Ctrl_L,Stf_L,Mov_L,HRA_L,PBABIP_L,Ctrl_L,PotStf,PotMov,PotHRA,PotPBABIP,PotCtrl,Vel,GB,Stm,Hold,Fst,Snk,Cutt,Crv,Sld,Chg,Splt,Frk,CirChg,Scr,Kncrv,Knbl,PotFst,PotSnk,PotCutt,PotCrv,PotSld,PotChg,PotSplt,PotFrk,PotCirChg,PotScr,PotKncrv,PotKnbl,Int,WrkEthic,Greed,Loy,Lead,Signability,Demand,Prone,Acc,Ovr,Pot
94541,"Nick Akers",CF,18,188,S,R,25,35,30,35,20,30,25,35,30,35,20,30,25,35,30,40,20,30,50,80,80,80,45,55,35,35,35,35,55,55,50,20,25,20,0,0,0,0,0,0,25,30,20,0,0,0,0,0,0,60,40,55,60,55,50,45,40,20,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,30,30,30,25,87-89,39,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,8500000,Normal,H,25,80
95868,"Jim Albritton",RP,18,195,R,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,35,30,20,30,30,40,30,30,40,25,45,40,45,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,25,20,20,30,55,25,30,25,20,45,30,30,25,20,45,30,25,25,20,40,30,45,45,40,45,50,88-90,47,45,45,30,0,0,0,20,20,0,0,0,0,0,0,45,0,0,0,40,50,0,0,0,0,0,0,N,N,N,N,N,EH,0,Normal,H,25,35
94312,"Jorge Alcala",RP,22,183,L,R,20,20,20,25,20,20,20,20,20,25,20,20,20,20,20,25,20,20,25,30,25,30,30,20,30,30,45,30,45,50,45,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,30,25,20,30,50,25,30,30,25,45,20,30,35,30,50,20,30,30,25,45,20,35,40,35,45,20,88-90,43,25,50,35,0,0,0,25,0,0,0,0,0,0,0,35,0,0,0,40,0,0,0,0,0,0,0,N,L,N,N,N,VE,0,Normal,H,25,25
87741,"Bobby Alemany",RP,21,191,R,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,40,30,30,35,40,40,30,30,50,20,30,30,40,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,20,20,20,25,55,25,40,25,20,50,30,40,25,20,50,30,40,25,20,50,30,50,35,30,50,35,98-100,39,40,65,60,0,0,0,0,25,0,0,0,0,0,0,70,0,0,0,0,45,0,0,0,0,0,0,L,N,N,N,N,VE,0,Normal,H,30,30
97302,"Troy Alfaro",RP,22,180,L,L,20,20,20,25,20,20,20,20,20,25,20,20,20,20,20,25,20,20,25,25,25,30,30,30,40,30,55,20,45,50,45,25,20,20,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,35,25,20,20,75,20,45,35,30,50,20,45,35,30,50,20,45,35,30,50,20,50,45,40,50,25,91-93,44,30,70,45,0,45,0,0,25,0,0,0,0,0,0,50,0,50,0,0,50,0,0,0,0,0,0,N,H,N,N,N,H,0,Normal,A,25,30
96040,"Danny Allen",RP,22,186,R,R,25,20,25,25,20,30,25,20,20,25,20,30,25,20,25,25,20,30,30,25,25,30,20,35,35,40,55,50,40,45,50,25,30,25,65,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,45,25,20,30,50,20,40,40,35,50,35,40,40,35,50,35,35,35,35,45,35,45,45,40,50,40,91-93,47,30,30,40,35,35,0,0,0,0,0,0,0,0,0,45,35,45,0,0,0,0,0,0,0,0,0,H,N,N,N,H,N,0,Normal,VH,30,35
97349,"Lee Allen",SP,22,185,S,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,20,20,20,25,25,35,30,55,25,40,50,55,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,25,25,20,35,45,20,30,40,40,50,35,30,45,40,50,35,30,40,35,45,35,35,45,45,50,50,87-89,46,45,35,30,35,0,0,20,35,0,0,0,0,0,0,35,40,0,0,35,45,0,0,0,0,0,0,N,N,N,L,N,H,0,Fragile,VH,30,35
95821,"Mark Allen",SP,22,181,L,R,20,20,20,25,20,20,20,20,20,25,20,20,20,20,20,25,20,20,25,30,25,35,25,25,25,25,40,20,40,40,35,25,25,20,35,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,25,25,20,20,40,25,35,40,40,45,40,35,40,40,45,40,35,40,40,45,40,45,45,45,45,50,91-93,57,35,30,40,30,35,0,0,0,0,0,0,0,0,0,50,45,45,0,0,0,0,0,0,0,0,0,N,N,N,N,N,E,0,Fragile,H,30,40
94530,"Matt Allen",SP,17,193,L,L,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,25,20,30,20,35,35,25,45,20,40,40,40,20,25,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,25,20,20,20,75,25,20,20,20,45,25,20,20,20,45,25,20,20,20,45,25,50,40,35,50,50,89-91,41,50,70,30,0,0,0,0,20,20,0,0,0,0,0,55,0,0,0,0,50,40,0,0,0,0,0,N,N,N,N,L,EH,550000,Normal,H,20,40
94797,"Ron Allen",SP,17,188,S,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,20,30,30,20,30,30,25,60,25,35,40,45,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,25,20,20,20,35,25,20,20,20,45,25,25,20,20,40,25,20,20,20,40,25,45,45,45,45,40,90-92,51,45,60,0,0,25,0,30,20,0,0,0,0,0,0,0,0,50,0,50,50,0,0,0,0,0,0,H,N,N,H,N,EH,0,Normal,VH,20,35
93149,"Chris Allison",SP,19,187,L,L,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,30,20,30,30,20,25,25,40,20,35,35,40,25,25,25,35,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,35,30,30,20,75,20,25,20,20,40,20,25,20,20,40,20,25,20,20,35,20,45,35,35,45,40,90-92,45,50,70,30,20,0,30,0,20,0,0,0,0,0,0,45,45,0,50,0,35,0,0,0,0,0,0,N,N,H,L,L,E,0,Normal,H,20,35
94584,"Cy Alvord",SP,18,191,S,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,40,35,20,20,30,30,40,20,45,35,40,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,25,25,20,20,80,25,20,25,20,45,20,20,25,20,45,20,20,25,20,45,25,50,45,45,45,45,93-95,52,55,65,35,0,25,0,0,20,0,0,0,0,0,0,65,0,65,0,0,45,0,0,0,0,0,0,H,N,H,N,N,EH,550000,Normal,H,20,45
91032,"Jordan Amalla",LF,21,192,L,L,25,25,20,25,30,20,25,25,20,25,30,20,25,20,20,25,30,20,45,40,30,45,45,45,30,30,35,20,40,35,45,20,20,20,0,0,0,0,0,0,25,0,20,0,0,0,0,0,0,40,0,30,45,40,45,40,50,25,20,20,20,35,20,20,20,20,35,20,20,20,20,35,20,20,30,30,35,25,84-86,48,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,L,N,0,Normal,H,25,35
94537,"Frank Amedeo",C,18,186,R,R,25,20,20,20,25,25,25,20,20,20,25,25,25,20,20,20,25,25,45,40,30,45,55,35,50,55,50,30,55,35,35,40,45,35,0,30,25,0,25,0,20,0,0,0,30,65,0,40,0,50,0,0,40,35,20,35,55,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,87-89,37,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,L,N,N,N,EH,0,Normal,H,20,35
97326,"John Amendola",C,22,182,L,R,40,40,40,35,40,40,40,40,40,35,40,40,40,40,40,35,40,40,45,50,50,40,45,50,30,35,55,20,55,50,50,55,55,65,0,50,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,30,30,35,25,50,25,20,25,20,30,20,20,25,20,30,20,20,25,20,30,20,20,25,25,30,25,84-86,50,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,H,H,N,H,0,Durable,H,35,40
94660,"Jim Anderson",1B,18,196,S,R,20,20,30,20,20,25,20,20,30,20,20,25,20,20,30,20,20,25,40,40,60,45,30,45,25,35,25,30,45,40,30,20,20,20,0,0,25,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,25,25,25,30,35,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,88-90,47,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,EH,0,Normal,VH,25,40
94703,"Kevin Anderson",C,17,193,R,R,25,25,20,25,25,25,25,25,20,25,20,25,25,25,20,25,25,25,45,40,35,45,45,50,35,25,40,35,35,30,40,45,50,40,0,25,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,25,20,20,20,50,20,20,20,20,20,20,20,20,20,25,20,20,20,20,20,20,20,25,25,20,25,88-90,42,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,L,H,EH,0,Normal,H,20,40
97291,"Kyle Anderson",SP,22,179,R,R,25,20,20,25,20,30,25,20,20,25,20,30,25,20,20,25,20,30,30,20,25,30,20,35,30,35,45,30,60,50,50,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,35,25,20,25,60,25,40,40,40,50,25,40,40,40,50,25,40,40,35,45,25,50,45,45,50,30,95-97,52,70,55,45,40,40,0,0,25,0,0,0,0,0,0,60,50,55,0,0,45,0,0,0,0,0,0,N,H,H,H,N,E,0,Normal,A,30,35
87816,"Mike Anderson",SP,21,191,L,R,20,20,20,20,20,20,20,20,20,20,25,20,20,20,20,20,20,20,40,30,25,35,40,40,25,35,45,20,25,25,25,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,25,25,20,25,45,25,25,35,30,45,30,30,35,30,45,30,25,35,30,40,30,40,40,40,45,45,93-95,54,40,65,40,25,0,0,0,20,0,0,0,0,0,0,50,35,0,0,0,45,0,0,0,0,0,0,H,N,N,N,N,VE,0,Normal,VH,25,35
89350,"Kurt Anthony",RP,21,182,L,L,20,20,20,20,20,20,25,20,20,20,25,25,20,20,20,20,20,20,35,35,20,45,35,35,30,35,40,20,35,40,30,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,25,20,20,20,65,25,35,20,20,40,20,35,20,20,40,20,40,20,20,45,20,45,30,25,40,30,90-92,40,30,65,35,30,30,0,0,0,0,0,0,0,0,0,45,40,50,0,0,0,0,0,0,0,0,0,H,H,L,H,N,VE,0,Normal,H,20,25
94734,"Bobby Apodaca",3B,18,186,R,R,25,30,20,25,30,25,25,30,20,25,30,25,25,30,20,25,30,25,60,60,40,50,60,55,45,40,65,35,35,35,45,20,20,20,0,0,0,20,30,0,0,0,0,0,0,0,35,45,0,0,0,0,40,45,40,50,50,25,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,25,25,30,25,86-88,38,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,EH,550000,Normal,H,25,50
97314,"Brian Applebaum",RP,18,186,R,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,30,30,35,25,25,30,30,40,30,40,40,55,25,25,30,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,30,25,20,20,35,25,30,30,25,45,25,30,30,25,50,25,25,25,20,40,25,45,45,45,45,40,89-91,47,35,50,35,0,0,0,25,0,0,0,0,0,0,0,55,0,0,0,50,0,0,0,0,0,0,0,N,N,N,N,N,EH,0,Normal,H,25,35
91040,"Alvaro Arellano",RP,20,190,R,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,45,30,20,30,45,45,30,20,45,25,25,35,35,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,20,20,20,20,75,25,30,25,20,45,25,35,30,20,45,25,30,25,20,40,25,45,40,35,45,45,92-94,45,30,35,40,0,0,0,35,0,0,0,0,0,0,0,50,0,0,0,55,0,0,0,0,0,0,0,N,N,N,H,N,N,0,Normal,H,25,35
94586,"Alvaro Armendariz",SP,18,194,L,L,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,20,30,30,30,30,30,45,20,40,45,45,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,20,20,20,20,75,25,25,30,25,40,25,25,30,25,40,25,25,30,25,40,25,40,45,50,40,50,87-89,50,65,70,30,0,0,0,0,20,25,0,0,0,0,0,45,0,0,0,0,45,45,0,0,0,0,0,N,N,N,H,N,EH,0,Normal,H,20,40
94509,"Corey Armstrong",RP,17,195,R,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,25,30,35,30,30,25,25,40,20,40,40,45,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,25,25,20,20,35,25,30,20,20,40,20,30,20,20,40,20,30,20,20,40,20,45,40,40,40,25,89-91,43,25,50,30,0,0,20,0,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,N,N,N,H,N,EH,0,Normal,H,20,30
95942,"Rich Armstrong",SP,22,177,L,L,20,20,20,25,20,20,20,20,20,25,20,20,20,20,20,25,20,20,25,25,20,35,25,25,35,25,50,20,45,45,45,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,25,25,20,30,55,20,35,35,35,35,20,35,35,35,35,20,35,35,35,35,20,40,40,40,35,20,90-92,55,45,65,35,35,30,25,0,0,0,0,0,0,0,0,45,45,45,35,0,0,0,0,0,0,0,0,N,N,L,H,N,E,0,Normal,H,30,30
97316,"Joey Arreola",1B,18,185,L,L,35,35,25,40,35,30,35,35,25,40,35,30,35,35,25,40,35,30,55,55,50,70,65,50,50,70,55,20,60,60,60,20,20,20,0,0,40,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,35,30,40,20,50,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,30,20,25,84-86,55,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,H,L,L,H,2400000,Durable,VH,30,60
94526,"Ramiro Arzate",RP,18,180,L,L,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,20,30,30,20,30,30,25,45,20,45,40,55,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,25,25,20,20,35,20,30,30,20,45,20,30,30,20,45,20,30,30,25,50,20,55,50,50,45,45,93-95,50,35,60,40,0,0,0,30,0,0,0,0,0,0,0,75,0,0,0,70,0,0,0,0,0,0,0,H,H,N,L,H,EH,0,Normal,H,25,45
95876,"Francisco Azua",LF,21,177,L,R,45,40,35,30,45,45,45,40,35,35,45,45,45,40,30,30,45,45,65,60,40,40,60,65,35,40,35,35,40,65,45,20,25,25,0,0,40,0,0,0,40,0,30,0,0,45,0,0,0,45,0,35,40,30,20,25,55,25,20,20,20,25,20,20,20,20,25,20,20,20,20,25,20,20,30,30,25,25,88-90,56,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,H,N,N,N,N,460000,Normal,H,35,50
91091,"Eddie Babbie",2B,21,183,R,R,30,25,20,25,35,25,30,25,20,25,35,25,30,25,20,25,35,25,45,40,30,40,50,35,40,45,35,55,25,30,35,20,20,20,0,0,0,30,0,0,0,0,0,0,0,0,40,0,0,0,0,0,40,25,30,20,50,20,20,20,20,35,20,20,20,20,35,20,20,20,20,35,20,20,30,25,35,25,83-85,37,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,E,0,Normal,H,25,30
95906,"Josh Babcock",SP,22,182,R,R,20,20,20,25,20,25,20,20,20,20,20,25,25,20,20,25,20,25,30,25,20,25,30,35,30,35,55,25,45,40,60,20,20,20,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,25,25,20,30,45,20,35,40,40,45,40,35,45,40,45,40,35,40,40,45,40,40,50,50,45,50,90-92,56,55,30,35,35,0,40,0,35,0,0,0,0,0,0,40,45,0,50,0,40,0,0,0,0,0,0,H,H,L,H,L,H,0,Normal,H,35,45
95886,"Joel Baker",SP,21,182,R,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,30,25,20,25,30,40,30,50,25,45,50,50,25,30,25,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,20,20,20,25,55,25,40,35,30,50,40,40,35,30,50,40,35,30,30,45,40,45,45,40,50,55,91-93,45,70,25,40,40,0,0,0,25,0,0,0,0,0,0,50,50,0,0,0,45,0,0,0,0,0,0,N,N,N,N,N,N,0,Fragile,H,30,45
94507,"Mike Baker",CF,18,188,R,R,25,25,20,30,25,25,25,25,20,30,25,25,25,25,20,30,25,25,50,45,35,50,50,50,40,35,25,35,55,45,45,20,20,20,0,0,0,0,0,0,20,25,20,0,0,0,0,0,0,55,35,50,45,50,45,55,50,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,20,25,87-89,46,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,EH,0,Normal,VH,25,40
94612,"Leonardo Ballesteros",SP,17,190,L,L,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,25,30,25,35,30,30,45,20,30,30,40,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,30,30,25,25,55,30,20,25,20,45,20,20,25,20,40,20,20,25,20,45,20,45,50,50,50,45,89-91,45,40,60,30,25,0,0,0,20,0,0,0,0,0,0,45,55,0,0,0,55,0,0,0,0,0,0,N,N,N,L,N,EH,0,Normal,H,20,45
94519,"Robert Balogh",SP,18,192,S,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,25,35,30,30,25,30,30,50,35,50,50,45,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,20,20,20,20,55,20,35,40,35,45,30,35,40,40,50,30,35,35,35,45,30,55,70,75,50,65,94-96,60,45,50,0,0,35,0,40,20,30,0,0,0,0,0,0,0,70,0,65,60,70,0,0,0,0,0,N,H,N,H,H,EH,950000,Normal,H,30,75
97275,"Doug Bangs",C,22,182,R,R,40,35,35,35,40,40,40,35,35,35,40,40,40,35,40,35,40,40,50,45,45,45,50,45,35,40,65,25,45,40,45,55,50,50,0,45,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,25,20,20,20,45,25,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,25,25,30,25,83-85,52,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,H,0,Normal,VH,30,40
94650,"Andy Barnell",CF,18,188,R,R,25,20,20,25,20,25,25,20,20,25,20,25,25,20,20,25,20,30,50,45,40,50,45,50,30,30,35,30,60,40,45,20,20,20,0,0,0,0,0,0,20,30,25,0,0,0,0,0,0,60,40,50,55,45,55,45,50,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,35,20,25,85-87,42,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,EH,0,Normal,H,20,40
95973,"Oliver Barnett",RP,22,183,S,R,20,20,20,40,20,20,20,20,20,40,20,20,20,20,20,35,20,20,20,25,25,50,25,20,35,30,75,30,55,50,55,20,20,20,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,35,25,25,45,75,25,40,40,40,50,35,40,40,40,50,35,40,40,35,50,35,55,45,45,50,45,93-95,52,30,55,50,0,0,0,0,0,30,0,0,0,0,0,65,0,0,0,0,0,55,0,0,0,0,0,N,N,N,N,N,N,0,Normal,VH,35,40
