ID,Name,Pos,League,Team,Org,LgLvl,Age,Height,Bats,Throws,Cntct,Gap,Pow,Eye,Ks,BABIP,Cntct_R,Gap_R,Pow_R,Eye_R,Ks_R,BABIP_R,Cntct_L,Gap_L,Pow_L,Eye_L,Ks_L,BABIP_L,PotCntct,PotGap,PotPow,PotEye,PotKs,PotBABIP,IFR,IFE,IFA,TDP,OFR,OFE,OFA,CBlk,CArm,CFrm,P,C,1B,2B,3B,SS,LF,CF,RF,PotP,PotC,Pot1B,Pot2B,Pot3B,PotSS,PotLF,PotCF,PotRF,Speed,StlRt,Steal,Run,SacBunt,BuntHit,Stf,Mov,HRA,PBABIP,Ctrl_R,Stf_R,Mov_R,HRA_R,PBABIP_R,Ctrl_L,Stf_L,Mov_L,HRA_L,PBABIP_L,Ctrl_L,PotStf,PotMov,PotHRA,PotPBABIP,PotCtrl,Vel,GB,Stm,Hold,Fst,Snk,Cutt,Crv,Sld,Chg,Splt,Frk,CirChg,Scr,Kncrv,Knbl,PotFst,PotSnk,PotCutt,PotCrv,PotSld,PotChg,PotSplt,PotFrk,PotCirChg,PotScr,PotKncrv,PotKnbl,Int,WrkEthic,Greed,Loy,Lead,Acc,Ovr,Pot
19300,"Mike Elliott",RP,202,28,28,1,31,184,R,R,25,35,20,20,25,25,25,35,20,20,25,25,25,35,20,20,25,25,25,35,20,20,25,25,25,30,50,25,45,30,40,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,20,30,30,20,55,20,50,50,50,50,55,50,50,50,50,55,45,45,45,50,50,50,50,50,50,55,94-96,60,35,75,50,50,0,45,50,0,0,0,0,0,0,0,50,50,0,45,50,0,0,0,0,0,0,0,N,N,N,N,N,VH,45,45
19968,"Frank Zapata",SP,0,0,0,0,27,193,L,L,35,40,20,20,35,40,35,40,20,20,35,40,35,35,20,20,35,35,35,40,20,20,35,40,30,25,50,20,25,25,45,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,20,30,20,25,40,20,40,50,55,40,35,40,50,55,40,35,40,50,60,40,35,40,50,55,40,40,92-94,65,45,65,45,40,0,0,0,0,35,0,0,0,0,0,45,40,0,0,0,0,35,0,0,0,0,0,N,H,N,N,N,VH,40,40
20470,"Jesus Ceja",RP,205,69,30,3,26,189,R,R,25,35,20,20,30,25,25,35,20,20,30,25,25,35,25,20,30,25,25,35,25,20,30,25,25,30,35,20,30,45,35,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,20,25,25,25,80,20,50,40,35,50,40,50,40,35,50,40,50,40,35,50,40,50,40,35,50,45,94-96,52,35,55,50,0,0,0,0,30,50,0,0,0,0,0,55,0,0,0,0,45,60,0,0,0,0,0,N,N,N,L,N,VH,35,35
20659,"Edgar Soto",SP,0,0,0,0,31,185,R,R,30,30,20,20,30,30,30,30,20,20,30,30,30,30,20,20,30,30,30,30,20,20,30,30,25,45,40,35,50,30,35,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,20,20,20,20,45,20,45,50,50,50,50,45,55,55,50,50,40,50,50,50,45,45,50,50,50,50,94-96,72,50,50,50,40,45,0,0,0,0,0,0,0,0,0,50,40,45,0,0,0,0,0,0,0,0,0,N,N,L,N,N,VH,45,45
22013,"Dave Nummerdor",SP,202,14,14,1,26,190,R,R,30,30,30,20,30,30,30,30,30,20,30,30,30,35,30,20,35,30,30,30,30,20,30,30,35,25,70,20,25,25,30,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,25,25,20,30,60,20,50,45,40,50,40,50,45,40,50,40,50,45,40,50,40,70,45,45,50,50,95-97,53,45,25,55,45,0,45,0,40,55,0,0,0,0,0,75,55,0,70,0,55,80,0,0,0,0,0,H,H,L,N,N,VH,40,50
22948,"Jim Reed",SP,202,16,16,1,28,200,R,R,25,35,25,20,30,20,25,35,25,20,30,20,25,35,25,20,30,20,25,35,25,20,30,20,30,35,65,20,25,35,25,20,20,25,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,20,20,25,20,55,25,45,55,55,55,45,50,55,60,55,45,45,55,55,50,45,50,55,55,55,45,94-96,66,60,45,55,55,25,45,0,45,0,0,0,0,0,0,55,55,30,50,0,50,0,0,0,0,0,0,H,H,H,L,N,VH,50,50
22980,"Tommy Reardon",SP,203,50,13,2,28,176,R,R,25,30,20,20,30,20,25,30,20,20,30,20,25,30,20,20,30,20,25,30,20,20,30,20,25,25,55,20,35,25,25,20,20,20,35,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,25,30,30,25,50,25,50,45,45,50,40,50,45,45,50,40,45,45,45,45,40,50,45,45,50,40,96-98,46,55,60,50,55,0,45,55,45,0,0,0,0,0,0,60,60,0,50,60,50,0,0,0,0,0,0,N,N,N,H,N,VH,40,40
23010,"Francis Casarez",C,202,14,14,1,26,193,S,R,45,50,50,50,50,45,45,50,50,50,50,45,45,50,55,55,50,45,45,50,55,50,50,45,30,30,50,25,55,55,65,70,65,65,0,70,20,0,0,0,50,0,0,0,70,40,0,0,0,60,0,0,35,25,20,20,45,25,20,20,20,35,20,20,20,20,35,20,20,20,20,35,20,20,25,25,35,20,80-83,56,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,H,H,VH,55,55
23310,"Ezequiel Saldivar",C,202,15,15,1,27,184,R,R,50,50,55,50,50,55,50,50,50,50,50,50,50,50,60,55,50,55,50,50,55,50,50,55,25,30,40,25,30,20,35,65,50,60,0,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,25,25,20,25,35,20,20,20,20,35,20,20,20,20,35,20,20,20,20,35,20,20,20,20,35,20,80-83,45,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,N,L,H,N,VH,50,55
23568,"Bobby Presley",CF,0,0,0,0,31,194,R,L,45,60,35,45,45,50,45,60,35,45,45,50,45,65,35,45,45,50,45,60,35,45,45,50,50,40,35,20,70,50,50,20,20,20,0,0,0,0,0,0,45,60,50,0,0,0,0,0,0,75,60,65,40,70,40,50,60,65,20,20,20,35,20,20,20,20,35,20,20,20,20,35,20,20,20,20,35,20,80-83,37,20,25,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,L,N,N,N,VH,40,40
23569,"Randy Davidson",RP,203,50,13,2,28,193,L,R,20,30,20,20,20,20,20,30,20,20,20,20,20,25,20,20,20,20,20,30,20,20,20,20,35,30,60,30,30,30,25,20,20,20,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,25,30,20,30,60,20,35,55,60,55,45,35,70,70,60,45,30,50,50,50,45,40,55,60,55,45,89-91,51,45,80,40,0,0,0,30,0,0,0,0,0,0,0,40,0,0,0,35,0,0,0,0,0,0,0,H,N,N,H,L,VH,40,40
23589,"Sean Harris",SP,0,0,0,0,33,186,R,R,20,30,20,20,20,20,20,30,20,20,20,20,20,30,20,20,20,20,20,30,20,20,20,20,25,30,55,20,25,30,35,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,25,20,20,20,50,20,45,45,45,55,55,45,50,45,55,55,45,45,40,50,50,45,45,45,55,55,94-96,47,65,25,55,50,0,40,40,0,0,25,0,0,0,0,55,50,0,40,40,0,0,25,0,0,0,0,H,N,N,N,N,VH,45,45
23645,"Steve Reynolds",SP,0,0,0,0,28,185,R,R,30,30,20,30,30,35,30,30,20,30,30,35,30,30,20,30,30,35,30,30,20,30,30,35,45,30,65,25,30,30,30,20,20,20,65,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,30,30,25,40,50,30,50,45,45,50,30,50,45,45,50,30,50,45,45,50,30,50,50,45,50,30,96-98,51,55,30,70,0,0,45,40,50,50,0,0,0,0,0,75,0,0,55,50,50,55,0,0,0,0,0,N,H,N,N,N,VH,35,40
23668,"Andres Rojas",3B,202,11,11,1,31,182,R,R,55,75,30,80,55,55,55,75,30,80,55,55,55,75,30,80,55,55,55,75,30,80,55,55,60,60,65,35,45,55,50,25,25,25,0,0,65,0,60,0,40,0,35,0,0,65,0,60,0,50,0,45,60,80,65,70,55,45,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,84-86,54,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,H,N,N,N,VH,60,60
23846,"Steve Bartlett",3B,202,6,6,1,29,182,R,R,65,50,45,40,75,50,65,50,45,40,75,50,65,50,45,40,75,50,65,50,45,40,75,55,50,50,60,55,40,50,55,20,20,20,0,0,55,50,45,45,0,0,20,0,0,65,50,50,45,0,0,40,30,45,35,40,50,45,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,83-85,55,20,25,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,VH,50,50
24193,"Andy Abner",SP,203,50,13,2,32,185,L,R,25,30,20,20,30,25,25,30,20,20,30,25,25,30,20,20,25,25,25,30,20,20,30,25,30,35,65,20,40,25,30,20,20,20,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,25,25,20,30,55,20,45,50,50,55,45,45,50,50,55,45,45,50,45,55,45,45,50,50,55,45,89-91,48,55,45,45,0,50,0,45,40,0,0,60,0,0,0,45,0,50,0,45,40,0,0,60,0,0,0,N,N,N,N,N,VH,45,45
24892,"Wilson Espinal",SP,207,195,17,3,23,185,R,R,20,30,20,35,25,20,20,30,20,35,25,20,20,30,25,35,25,20,25,30,25,40,25,20,30,30,45,25,35,25,35,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,25,20,20,25,80,25,40,40,35,45,45,40,40,35,45,45,35,40,35,40,45,40,45,45,45,45,93-95,50,50,80,50,0,0,0,0,35,0,0,0,0,35,0,50,0,0,0,0,40,0,0,0,0,35,0,N,H,L,N,N,VH,35,35
24939,"Anthony Volpe",DH,202,9,9,1,39,180,R,R,45,50,60,80,45,45,45,50,60,80,45,45,45,50,65,80,45,45,45,50,60,80,45,45,45,65,50,60,45,50,45,20,20,20,0,0,60,50,50,30,45,0,30,0,0,60,50,50,40,45,0,40,50,55,65,70,60,45,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,80-83,51,20,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,H,H,L,N,H,VH,50,50
24972,"Tim LaPointe",SP,0,0,0,0,33,180,R,R,20,20,30,20,20,20,20,20,30,20,20,20,20,20,30,20,20,20,20,20,30,20,20,20,25,35,50,35,25,25,25,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,20,25,20,20,50,20,45,55,55,55,45,45,55,55,55,45,45,50,50,55,45,45,55,55,55,45,93-95,67,55,45,45,50,0,50,45,50,0,0,0,0,0,0,45,50,0,50,45,50,0,0,0,0,0,0,N,N,N,N,N,VH,50,50
24991,"Julio Ovalle",RP,0,0,0,0,23,193,R,R,35,30,20,35,35,40,35,30,20,35,35,40,40,30,20,35,40,40,40,30,20,40,40,40,30,35,35,20,30,35,30,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,30,25,20,20,55,30,45,35,35,40,35,45,35,35,40,35,40,35,35,35,35,45,35,35,40,35,94-96,52,25,35,50,0,0,0,0,30,45,0,0,0,0,0,50,0,0,0,0,45,45,0,0,0,0,0,N,N,N,N,N,VH,30,30
25130,"Julio Ramirez",SP,202,26,26,1,28,186,R,R,50,40,20,20,45,50,50,40,20,20,45,50,50,40,20,20,50,55,50,40,20,20,45,50,30,30,40,30,30,35,25,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,25,30,25,25,60,25,55,50,50,55,60,55,50,50,55,55,55,55,55,55,60,55,55,55,55,65,96-98,51,50,80,70,45,40,75,0,65,0,0,0,0,0,0,75,50,45,75,0,70,0,0,0,0,0,0,N,H,H,N,L,VH,65,65
25204,"Amari Liburd",SP,0,0,0,0,33,188,R,R,30,35,30,20,25,35,30,35,30,20,25,35,30,40,30,25,25,35,30,35,30,20,25,35,35,20,55,30,30,25,50,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,25,30,20,30,55,20,45,45,45,55,55,45,45,45,55,55,45,45,45,50,50,45,45,45,55,55,94-96,52,50,35,50,0,0,45,50,0,45,0,0,0,0,0,50,0,0,45,50,0,45,0,0,0,0,0,L,H,N,N,N,VH,45,45
25279,"Kevon Tolefree",SS,202,27,27,1,33,182,R,R,45,50,40,50,45,40,45,50,40,50,45,40,45,50,40,50,45,40,45,50,40,50,45,40,60,70,65,75,25,40,50,20,20,20,0,0,0,60,30,65,0,0,0,0,0,0,70,70,65,0,0,0,40,65,60,55,40,20,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,80-83,54,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,H,H,40,40
25439,"Shou-xin Lo",RP,0,0,0,0,24,203,R,R,30,30,25,40,35,30,30,30,25,40,35,30,35,30,25,40,35,30,35,30,25,40,40,30,30,30,50,25,25,30,35,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,20,20,20,30,40,25,30,45,45,35,35,35,45,45,35,35,30,40,45,35,35,35,45,45,35,35,88-90,52,30,65,35,30,0,0,0,25,0,0,0,0,0,0,35,30,0,0,0,35,0,0,0,0,0,0,N,H,N,N,H,VH,30,30
25906,"Juan MacPhail",1B,202,17,17,1,28,185,R,R,45,55,50,50,50,45,45,50,50,50,50,45,50,60,55,55,50,50,50,55,50,50,50,45,50,60,40,50,45,45,30,20,20,20,0,0,65,50,0,30,0,0,0,0,0,65,50,0,35,0,0,0,35,55,45,45,80,50,20,20,20,35,20,20,20,20,35,20,20,20,20,30,20,20,20,20,35,20,80-83,41,20,25,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,VH,45,45
25914,"Lebarron Williams",RP,204,53,28,2,26,197,R,R,20,30,20,20,20,20,20,30,20,20,20,20,20,30,20,20,20,20,20,30,20,20,20,20,30,30,50,25,40,25,25,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,20,25,20,20,50,20,50,45,45,50,45,55,45,45,50,45,50,45,45,50,40,55,45,45,50,45,96-98,56,45,60,70,50,0,0,0,40,0,0,0,0,0,0,75,55,0,0,0,40,0,0,0,0,0,0,N,N,N,N,N,VH,40,40
26572,"Yoo-hyun Kim",SP,0,0,0,0,23,184,L,R,30,30,25,35,30,35,35,30,25,35,30,35,30,30,20,35,30,35,40,30,25,45,40,40,30,40,50,20,25,25,35,20,25,20,60,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,30,20,20,25,60,20,45,45,45,45,35,45,45,45,45,35,45,45,45,45,35,45,45,45,45,35,91-93,48,40,40,50,0,0,0,0,45,0,0,40,0,50,0,50,0,0,0,0,55,0,0,45,0,55,0,L,N,N,L,N,VH,35,35
35035,"Juan Baca",SP,202,17,17,1,24,208,R,R,30,35,25,40,35,25,30,35,25,40,35,25,30,35,30,40,35,30,30,35,25,40,40,30,35,45,55,30,30,30,50,20,20,20,65,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,20,25,25,30,55,25,45,50,50,50,45,45,50,50,50,45,45,50,50,45,45,50,50,55,50,45,95-97,62,35,55,50,45,45,0,0,35,0,0,0,0,0,0,65,50,50,0,0,45,0,0,0,0,0,0,N,N,L,N,N,VH,45,45
35040,"Steve Garrett",3B,202,10,10,1,29,194,R,R,45,55,40,50,45,50,45,55,40,50,45,50,45,55,40,50,45,50,50,55,45,50,45,50,60,60,65,35,50,55,60,20,20,20,0,0,0,0,55,0,0,35,45,0,0,0,0,55,0,0,35,55,75,70,65,75,75,70,20,20,20,35,20,20,20,20,35,20,20,20,20,35,20,20,20,20,35,20,83-85,38,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,N,H,N,N,VH,40,40
35497,"Sam Foltz",SP,0,0,0,0,32,192,R,R,40,35,25,20,40,40,40,30,25,20,40,40,40,35,30,20,40,40,40,35,25,20,40,40,40,40,65,45,30,35,30,20,20,20,70,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,25,20,20,30,65,20,45,50,50,50,45,45,50,50,50,45,45,50,50,50,45,45,50,50,50,45,94-96,68,45,45,55,45,0,45,0,0,0,0,0,0,0,0,55,45,0,45,0,0,0,0,0,0,0,0,N,N,N,H,N,VH,45,45
35709,"Kevin Simon",SP,202,16,16,1,25,180,S,R,25,35,20,45,30,20,25,35,20,45,30,20,25,35,20,45,30,20,25,35,20,45,30,20,30,30,45,35,45,50,20,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,40,25,20,20,35,20,50,50,50,50,45,50,50,50,50,50,50,50,50,50,45,55,50,50,50,50,96-98,53,40,60,65,60,0,45,0,50,0,0,0,0,0,0,70,65,0,75,0,60,0,0,0,0,0,0,N,N,H,N,L,VH,50,50
36068,"Chris Dockery",RP,203,40,27,2,32,192,S,R,25,30,20,20,30,20,25,30,20,20,30,20,25,30,20,20,30,20,25,30,20,20,30,20,40,30,35,25,55,30,30,20,25,20,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,25,30,20,20,75,20,45,45,40,55,55,45,45,40,55,55,45,40,35,50,55,45,45,40,55,55,95-97,34,55,30,50,45,0,0,40,0,40,0,0,0,0,0,50,45,0,0,40,0,40,0,0,0,0,0,N,H,N,N,L,VH,40,40
36272,"J.J. Lawrence",SP,0,0,0,0,29,184,R,R,30,30,35,30,40,25,30,30,35,30,35,25,30,30,35,35,40,30,30,30,35,30,40,25,40,35,65,20,25,30,25,20,20,20,65,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,30,30,25,20,75,20,45,45,45,50,45,45,45,45,50,45,45,45,45,50,45,45,45,45,50,45,93-95,59,55,65,0,0,55,35,0,45,50,0,25,0,0,0,0,0,55,35,0,45,50,0,35,0,0,0,N,H,N,H,N,VH,45,45
36292,"Hunter Barco",RP,0,0,0,0,40,193,L,L,20,40,45,40,20,20,20,40,45,40,20,20,20,40,45,40,20,20,20,40,45,40,20,20,35,50,55,35,35,40,60,20,20,20,70,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,40,30,40,40,45,35,45,45,50,40,55,45,45,45,35,50,50,50,50,45,55,45,45,50,40,55,91-93,74,55,60,45,0,0,0,45,0,0,0,0,0,0,0,45,0,0,0,45,0,0,0,0,0,0,0,N,N,N,N,N,VH,45,45
36518,"Sean Nale",SP,202,14,14,1,28,178,R,R,30,35,20,25,30,30,30,35,20,25,30,30,30,35,20,25,30,30,30,35,20,25,30,30,25,35,50,20,25,25,35,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,20,30,20,20,75,25,50,45,45,55,55,50,45,45,55,55,50,45,45,55,55,50,45,45,55,55,95-97,54,60,45,60,55,0,45,0,45,40,0,0,0,0,0,70,55,0,45,0,45,40,0,0,0,0,0,N,N,N,N,H,VH,50,50
36676,"Bobby Dwyer",RF,0,0,0,0,29,179,R,R,45,55,45,45,45,50,45,55,45,45,45,50,45,60,45,50,45,50,45,55,45,45,45,50,25,35,45,40,60,45,65,20,20,20,30,0,25,0,0,0,70,45,65,45,0,30,0,0,0,70,50,65,30,70,35,20,45,35,40,25,20,45,25,40,25,20,50,25,40,20,20,45,25,40,25,20,45,25,90-92,45,50,65,40,35,40,0,0,30,0,0,0,0,0,0,40,40,40,0,0,35,0,0,0,0,0,0,N,N,N,N,H,VH,40,40
38324,"Nelson Ozuna",SP,202,18,18,1,28,182,S,R,25,30,20,20,30,20,25,30,20,20,30,20,25,35,20,20,30,20,25,30,20,20,30,20,35,30,55,35,30,30,30,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,20,20,25,20,50,20,50,50,50,55,50,55,50,50,55,50,50,50,50,50,45,55,50,50,55,50,95-97,55,55,40,75,60,0,25,35,45,0,0,0,0,0,0,75,60,0,35,40,50,0,0,0,0,0,0,L,L,N,L,N,VH,50,50
38348,"Kymani Alabre",RP,202,11,11,1,29,187,R,R,40,40,20,20,40,45,40,35,20,20,40,45,40,40,20,20,40,45,40,40,20,20,40,45,25,45,45,25,20,25,25,20,20,20,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,20,25,20,20,55,20,45,50,45,50,50,45,45,45,50,50,45,50,45,55,50,45,50,45,50,50,95-97,63,45,50,0,0,50,50,0,45,0,0,0,0,50,0,0,0,50,50,0,45,0,0,0,0,50,0,N,N,L,N,N,VH,40,40
