ID,Name,Pos,League,Team,Org,LgLvl,Age,Height,Bats,Throws,Cntct,Gap,Pow,Eye,Ks,BABIP,Cntct_R,Gap_R,Pow_R,Eye_R,Ks_R,BABIP_R,Cntct_L,Gap_L,Pow_L,Eye_L,Ks_L,BABIP_L,PotCntct,PotGap,PotPow,PotEye,PotKs,PotBABIP,IFR,IFE,IFA,TDP,OFR,OFE,OFA,CBlk,CArm,CFrm,P,C,1B,2B,3B,SS,LF,CF,RF,PotP,PotC,Pot1B,Pot2B,Pot3B,PotSS,PotLF,PotCF,PotRF,Speed,StlRt,Steal,Run,SacBunt,BuntHit,Stf,Mov,HRA,PBABIP,Ctrl_R,Stf_R,Mov_R,HRA_R,PBABIP_R,Ctrl_L,Stf_L,Mov_L,HRA_L,PBABIP_L,Ctrl_L,PotStf,PotMov,PotHRA,PotPBABIP,PotCtrl,Vel,GB,Stm,Hold,Fst,Snk,Cutt,Crv,Sld,Chg,Splt,Frk,CirChg,Scr,Kncrv,Knbl,PotFst,PotSnk,PotCutt,PotCrv,PotSld,PotChg,PotSplt,PotFrk,PotCirChg,PotScr,PotKncrv,PotKnbl,Int,WrkEthic,Greed,Loy,Lead,Prone,Acc,Ovr,Pot
766,"Luis López",SS,102,39,3,3,22,201,S,R,40,40,35,45,35,45,40,40,35,45,35,45,40,40,35,45,35,45,45,40,35,45,45,45,65,60,65,55,50,45,70,20,20,20,0,0,25,60,40,60,0,0,0,0,0,90,65,65,60,0,0,0,55,80,55,50,50,50,20,30,25,35,25,20,30,25,35,25,20,30,20,35,25,20,30,30,35,25,84-86,49,20,20,35,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,N,H,L,N,N,Normal,VH,2,3
773,"Sergio Fuentes",RP,103,127,118,4,22,189,R,R,35,45,20,40,35,40,35,45,20,40,35,40,35,45,20,45,35,40,50,45,20,50,45,50,30,35,40,25,60,60,55,20,20,20,40,0,25,0,0,0,55,40,35,45,0,40,0,0,0,70,50,60,40,55,50,40,50,45,35,40,30,45,35,35,35,30,45,35,35,40,30,45,35,45,40,35,45,45,96-98,51,50,60,45,0,0,50,0,40,0,0,0,0,0,0,55,0,0,55,0,40,0,0,0,0,0,0,N,L,N,N,N,Normal,H,2,5
788,"Ángel Canseco",2B,101,20,6,2,22,194,R,R,50,55,50,55,45,55,50,55,50,55,45,55,50,55,50,55,45,55,55,60,50,60,45,60,60,50,45,75,20,60,35,20,25,20,0,0,0,60,0,45,0,0,0,0,0,0,60,0,45,0,0,0,70,80,70,80,40,45,20,30,25,35,20,20,30,25,35,20,20,30,25,35,20,20,30,25,35,20,84-86,48,20,20,35,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,Normal,VH,4,5
791,"Tanner Chapman",RP,104,87,87,10,19,198,R,R,20,45,30,30,20,20,20,45,30,30,20,20,20,45,30,30,20,25,35,45,40,40,40,30,35,35,55,30,25,30,35,20,20,20,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,30,25,20,20,50,20,35,35,25,45,20,35,35,25,45,20,30,35,25,45,20,40,45,50,45,30,91-93,50,50,65,40,35,35,0,0,0,0,0,0,0,0,0,45,45,45,0,0,0,0,0,0,0,0,0,N,N,H,N,N,Normal,H,1,3
999,"Guillermo Espiñol",SS,102,39,3,3,22,194,R,R,40,45,50,40,45,40,40,45,50,40,45,40,40,45,50,40,45,40,50,45,50,40,50,45,65,50,45,50,55,60,50,20,20,20,0,0,80,60,0,35,50,35,45,0,0,80,60,0,50,60,40,55,40,80,40,30,35,50,20,25,20,35,20,20,25,20,35,20,20,25,20,35,20,20,25,20,35,20,80-83,45,20,20,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,N,H,N,N,N,Normal,H,2,4
1017,"Felipe Fernández",C,101,125,118,2,23,185,L,R,45,45,45,55,50,40,45,45,50,55,50,40,45,40,45,50,50,40,45,45,50,55,50,40,30,40,30,25,25,35,30,70,40,65,0,45,20,0,0,0,0,0,0,0,55,45,0,0,0,0,0,0,30,30,35,40,45,35,20,30,20,35,20,20,30,20,35,20,20,25,20,35,20,20,30,20,35,20,85-87,44,20,20,35,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,N,L,N,N,L,Durable,H,3,4
1037,"Daniel Elbiguel",C,105,102,102,11,16,185,R,R,25,40,30,30,30,20,25,40,25,30,30,20,25,40,30,30,35,20,50,40,45,40,65,45,25,25,30,25,25,35,35,35,50,50,0,25,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,25,25,20,20,45,20,20,30,20,35,20,20,30,20,35,20,20,30,20,35,20,20,30,30,35,20,80-83,37,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,Normal,A,1,3
1040,"Bernardo Esquivel",RF,105,75,75,11,16,190,L,L,30,45,35,35,25,35,30,45,35,35,25,35,30,45,35,35,25,30,60,60,60,45,60,60,25,25,35,20,40,55,45,20,25,20,0,0,0,0,0,0,40,0,35,0,0,0,0,0,0,40,0,35,40,35,25,20,45,25,20,30,20,35,20,20,30,20,35,20,20,30,20,35,20,20,35,35,35,20,85-87,42,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,H,L,N,N,Normal,H,1,9
1049,"Jorge González",SP,100,120,120,1,22,191,R,R,35,35,40,20,35,30,35,35,40,20,35,30,35,35,40,20,35,30,35,35,40,25,35,30,30,30,40,25,30,20,40,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,20,30,20,20,75,25,45,50,45,60,50,50,50,45,60,50,45,50,45,55,50,55,55,55,60,60,97-99,67,80,70,60,0,0,0,50,45,0,60,0,0,0,0,70,0,0,0,70,55,0,70,0,0,0,0,N,N,N,H,H,Durable,H,4,8
1050,"Arturo Marés",1B,105,75,75,11,16,194,R,R,30,40,30,35,25,30,25,40,30,35,25,30,30,40,30,35,25,30,60,45,50,50,65,55,30,40,40,30,30,25,20,20,20,20,0,0,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,40,45,40,45,40,20,20,30,20,35,25,20,30,20,35,25,20,30,20,35,25,20,30,30,35,30,80-83,44,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,H,Normal,H,1,5
1066,"Jesús Pantoja",SP,0,0,0,0,22,193,L,R,35,35,25,30,30,35,35,35,25,30,30,35,35,35,25,30,30,35,40,35,30,35,40,35,25,35,35,25,20,30,35,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,20,40,20,20,55,20,45,35,25,50,35,45,35,25,50,35,45,35,25,50,35,55,40,30,50,40,98-100,43,40,75,65,0,45,0,50,40,0,0,0,0,0,0,70,0,55,0,65,40,0,0,0,0,0,0,N,N,H,L,L,Fragile,VH,1,1
1380,"José Sánchez",SP,0,0,0,0,28,191,R,R,30,30,35,25,30,30,30,30,35,25,30,30,30,30,35,25,30,30,30,30,35,25,35,30,35,30,45,35,45,35,35,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,20,30,20,20,70,25,45,45,45,50,45,45,45,45,50,45,45,45,40,50,45,45,45,45,50,45,95-97,62,50,35,55,0,0,0,0,35,50,35,0,0,0,0,60,0,0,0,0,40,50,40,0,0,0,0,L,H,L,N,N,Durable,VH,3,3
1381,"José Torres",3B,105,75,75,11,16,190,R,R,30,50,30,40,25,35,30,45,30,35,25,35,30,50,30,40,30,35,60,55,45,50,65,55,50,50,70,35,40,40,60,45,50,45,0,30,25,20,45,20,0,0,0,0,40,70,40,50,35,0,0,0,40,30,20,25,60,20,20,25,20,35,20,20,25,20,35,20,20,25,20,35,20,20,30,30,35,20,83-85,51,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,L,N,N,N,Normal,H,1,5
1384,"Jesús Soto",C,102,36,2,3,22,190,L,R,40,45,50,45,40,40,40,45,55,45,40,40,40,40,45,40,40,40,50,45,60,45,55,50,30,35,35,25,25,40,35,55,45,45,0,35,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,25,40,20,20,35,30,25,30,30,35,25,25,30,30,35,25,20,30,30,35,25,25,30,30,35,25,84-86,49,20,20,35,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,Durable,VH,1,5
1417,"Enrique Valenzuela",RP,105,75,75,11,17,185,L,R,20,20,25,30,20,20,20,20,25,30,20,20,20,20,25,30,20,20,40,35,35,40,40,35,25,30,30,20,30,30,50,20,20,25,35,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,25,25,20,20,40,25,35,30,20,40,20,35,30,20,40,20,35,30,20,40,20,45,35,35,40,30,92-94,51,25,45,0,0,40,40,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,H,N,N,N,N,Normal,VH,1,3
1439,"Ángel Serrano",RP,105,75,75,11,16,207,L,L,20,25,25,30,20,25,20,25,25,30,20,25,20,25,25,30,20,25,40,35,40,40,50,35,30,25,45,25,35,25,35,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,25,30,20,25,45,30,30,30,20,45,20,30,30,20,40,20,35,30,20,45,20,50,40,40,45,30,91-93,37,25,75,40,0,0,0,35,0,0,0,0,0,0,0,50,0,0,0,55,0,0,0,0,0,0,0,L,L,H,L,N,Durable,VH,1,3
1443,"Bernardo Cortéz",RP,0,0,0,0,37,185,L,R,20,25,20,45,20,20,20,25,20,45,20,20,20,25,20,40,20,20,20,25,20,45,20,20,20,20,40,20,20,20,25,20,20,20,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,30,20,20,60,20,45,45,40,50,65,45,45,40,45,65,45,45,40,50,65,45,45,40,50,65,91-93,58,50,40,0,0,50,55,0,0,0,0,0,0,0,0,0,0,50,55,0,0,0,0,0,0,0,0,N,H,H,N,L,Iron Man,VH,4,4
1450,"Don Johnston",C,101,20,6,2,25,189,R,R,45,55,45,55,45,45,45,55,45,50,45,45,45,60,50,55,45,45,45,55,55,55,45,45,20,40,45,25,30,55,40,65,50,70,0,60,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,25,20,20,20,45,20,20,25,20,35,25,20,25,20,35,25,20,25,20,30,25,20,25,20,35,25,80-83,51,20,30,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,L,N,H,N,N,Normal,H,4,4
1452,"Norm Cook",3B,0,0,0,0,26,190,R,R,45,50,45,45,40,45,45,50,45,45,40,45,45,50,45,45,40,45,45,50,45,45,45,45,50,60,60,40,20,40,55,20,20,20,0,0,0,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,45,30,50,50,40,20,20,25,20,35,20,20,30,20,35,20,20,25,20,35,20,20,25,20,35,20,80-83,43,20,25,30,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,N,N,N,L,N,Normal,VH,3,3
1455,"Jorge Rocha",RP,105,75,75,11,17,202,R,R,20,25,20,30,20,20,20,25,20,30,20,20,20,25,20,30,20,20,40,35,25,40,45,35,30,25,55,35,35,30,30,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,30,25,20,20,75,25,40,30,20,45,25,40,30,20,45,25,40,30,20,45,25,45,35,30,45,35,90-92,49,35,25,40,40,35,0,0,0,0,40,0,0,0,0,45,45,40,0,0,0,0,45,0,0,0,0,N,L,N,L,L,Fragile,A,1,3
1464,"Eduardo García",SP,105,75,75,11,17,179,R,L,25,45,20,30,20,30,25,45,20,30,20,30,25,45,20,30,20,30,45,45,30,40,45,45,30,30,50,25,25,30,35,25,25,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,30,25,20,20,75,25,35,30,20,40,30,35,30,20,40,30,35,30,20,40,30,45,45,50,40,40,91-93,52,60,80,45,35,0,40,0,35,0,0,0,0,0,0,50,50,0,55,0,55,0,0,0,0,0,0,N,N,N,N,L,Normal,H,1,3
1473,"Miguel Reyes",C,103,54,7,4,22,195,R,R,30,35,45,40,35,30,30,35,45,40,35,30,30,35,45,40,35,30,40,35,45,45,40,45,50,35,35,25,25,25,30,70,40,70,0,50,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,45,40,50,50,25,25,20,30,20,35,20,20,30,20,35,20,20,30,20,35,20,20,30,20,35,20,85-87,52,20,20,35,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,L,N,N,H,N,Normal,H,1,3
1480,"Pedro Martínez",LF,105,100,100,11,16,192,R,R,20,35,25,35,20,25,20,35,25,35,20,25,20,35,25,30,20,30,50,40,35,45,60,45,25,20,30,20,35,35,45,20,20,20,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,30,0,25,30,30,30,35,55,35,20,30,20,35,25,20,30,20,35,25,20,30,20,35,25,20,35,30,35,25,84-86,46,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,L,Normal,A,1,3
1485,"José Garza",LF,105,100,100,11,17,187,R,R,30,45,35,35,30,30,30,45,35,35,30,30,35,45,35,35,30,30,65,60,60,55,70,60,45,40,35,45,40,50,30,20,20,20,0,0,0,25,0,0,35,0,0,0,0,0,35,0,0,35,0,0,50,40,30,30,30,25,20,30,20,35,20,20,30,20,35,20,20,30,20,35,20,20,35,30,35,20,83-85,37,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,N,H,L,N,Normal,H,1,10
1488,"Héctor Vega",RF,0,0,0,0,22,184,L,L,25,30,40,35,20,30,25,30,40,35,20,30,25,30,40,35,20,30,40,40,45,50,40,35,25,25,45,20,45,50,65,20,25,20,0,0,0,0,0,0,20,0,40,0,0,0,0,0,0,50,0,45,35,45,40,50,35,30,20,25,20,30,20,20,25,20,30,20,20,25,20,35,20,20,25,20,30,20,80-83,52,20,25,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,N,H,N,H,N,Normal,A,1,2
1497,"Manuel Cruz",2B,0,0,0,0,22,193,R,R,20,30,30,40,25,20,20,30,30,40,25,20,20,30,30,40,25,20,45,40,35,50,50,40,65,45,55,45,45,50,55,20,25,20,0,0,0,40,40,40,25,0,40,0,0,0,55,50,45,50,0,45,50,75,60,40,30,50,20,30,20,40,20,20,30,20,40,20,20,30,20,40,20,20,30,25,40,20,83-85,46,20,20,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,N,H,N,L,N,Durable,VH,1,3
1498,"Sergio Prado",RP,105,100,100,11,16,192,R,R,20,25,20,35,20,20,20,25,20,35,20,20,20,25,20,35,20,20,40,35,35,50,45,35,25,40,40,20,30,25,25,20,20,20,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,30,20,20,25,35,25,35,30,20,40,25,35,30,20,40,25,35,30,20,40,25,55,45,50,40,35,93-95,41,25,55,45,0,0,30,0,0,0,0,0,0,0,0,65,0,0,60,0,0,0,0,0,0,0,0,N,N,N,N,N,Normal,VH,1,3
1503,"Ernesto Ríos",2B,106,114,4,5,23,186,L,R,40,40,45,40,45,40,40,40,45,40,45,40,40,40,40,40,45,40,50,40,45,45,55,45,70,55,50,65,65,55,45,20,20,20,0,0,0,70,25,50,0,50,0,0,0,0,70,55,60,0,50,0,55,65,50,70,35,25,20,35,35,35,20,20,35,35,35,20,20,35,35,35,20,20,35,35,35,20,85-87,59,20,20,35,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,Durable,VH,2,4
1505,"Fernando Ruíz",C,106,136,120,5,22,194,R,R,20,30,35,35,20,25,20,30,35,35,20,25,20,30,35,35,20,25,40,40,45,50,45,40,40,35,35,20,35,35,35,60,45,60,0,35,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,30,25,25,30,35,25,20,30,20,35,25,20,30,20,35,25,20,30,20,35,25,20,30,25,35,25,84-86,48,20,20,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,N,H,N,H,L,Normal,VH,1,3
1513,"Manuel Rivera",RF,105,99,99,11,16,187,L,R,30,45,35,35,25,30,30,45,35,35,25,30,25,45,30,35,25,30,55,50,50,50,60,55,35,30,40,30,50,35,55,20,20,20,0,0,0,0,0,0,45,0,40,0,0,0,0,0,0,50,0,45,40,45,40,55,55,20,20,30,20,35,20,20,30,20,35,20,20,30,20,35,20,20,35,30,35,20,80-83,51,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,Normal,H,1,5
1520,"Francisco Silva",C,103,43,8,4,22,185,S,R,35,40,45,50,35,30,35,40,45,50,35,30,35,40,45,50,35,30,45,40,50,55,50,40,40,35,50,20,35,35,45,55,50,55,0,45,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,20,25,20,30,40,20,20,30,20,35,30,20,30,20,35,30,20,30,20,35,30,20,30,20,35,30,83-85,49,20,20,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,L,L,N,H,N,Durable,H,1,3
1527,"Dave Hall",RP,104,87,87,10,18,200,R,R,20,40,20,20,20,30,20,40,20,20,20,30,20,40,20,20,20,30,35,45,30,35,40,35,30,25,40,40,35,20,35,25,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,30,25,20,20,75,25,30,35,20,50,25,30,35,20,45,25,35,35,20,50,25,50,45,40,50,35,94-96,37,55,60,45,0,0,30,0,40,35,0,0,40,0,0,55,0,0,50,0,60,45,0,0,60,0,0,N,N,L,H,N,Normal,H,1,3
1532,"Franklin Haas",CF,105,76,76,11,14,182,R,R,35,40,20,35,35,30,35,40,20,35,35,30,35,40,20,35,35,30,60,45,35,50,60,55,30,30,35,35,45,40,40,20,20,20,0,0,0,0,0,0,35,20,0,0,0,0,0,0,0,40,20,0,45,50,45,50,60,25,20,35,30,35,30,20,35,30,35,30,20,35,30,35,30,20,35,35,35,30,84-86,57,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,H,N,N,L,Durable,A,1,4
1537,"Carlos Valenzuela",CF,105,99,99,11,16,188,R,R,20,45,20,25,20,20,20,45,20,25,20,20,20,45,20,25,20,20,40,50,30,40,50,30,50,30,35,45,65,50,55,20,20,20,0,0,0,0,0,0,20,50,20,0,0,0,0,0,0,70,55,65,65,60,55,55,65,55,20,30,20,35,20,20,30,20,35,20,20,30,20,35,20,20,35,35,35,20,85-87,41,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,L,N,N,N,Normal,VH,1,1
1544,"Luis Bravo",C,103,53,12,4,22,183,R,R,35,40,40,40,35,30,35,40,40,40,35,30,35,40,40,40,35,30,45,45,50,50,50,45,20,25,30,30,25,20,25,65,35,70,0,50,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,25,30,30,35,30,25,25,30,25,35,25,25,30,25,35,25,25,30,25,35,25,25,30,25,35,25,85-87,60,20,20,35,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,N,N,N,H,N,Normal,VH,1,3
1552,"Gabriel Montés",RP,105,99,99,11,16,192,L,R,20,45,20,30,20,25,20,45,20,30,20,25,20,45,20,30,20,25,45,45,30,45,50,40,35,25,55,20,30,25,30,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,25,20,20,25,65,25,30,35,25,45,20,30,35,25,50,20,30,30,25,40,20,40,50,60,45,25,91-93,57,30,25,40,0,0,0,40,0,0,0,0,0,0,0,45,0,0,0,45,0,0,0,0,0,0,0,N,L,N,N,N,Normal,VH,1,3
1565,"Brian Larson",RP,105,76,76,11,15,186,L,L,20,35,20,25,20,20,20,35,20,25,20,20,20,35,20,25,20,20,45,40,25,40,45,45,25,20,55,20,20,40,30,20,20,20,35,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,25,25,20,20,45,25,35,30,20,45,20,35,30,20,40,20,35,30,20,40,20,65,50,60,45,35,89-91,57,35,80,0,0,40,0,0,40,0,0,0,0,0,0,0,0,65,0,0,65,0,0,0,0,0,0,N,N,N,N,N,Normal,A,1,4
1576,"Pancho Martínez",2B,106,116,3,5,22,180,R,R,35,35,40,45,35,35,35,35,40,45,35,35,35,35,40,50,35,35,50,40,45,65,50,50,50,50,35,60,45,45,25,20,25,20,0,0,0,45,0,25,0,0,0,0,0,0,50,0,35,0,0,0,50,45,50,45,35,50,20,25,20,35,20,20,25,20,35,20,20,25,20,30,20,20,25,20,35,20,80-83,39,20,20,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,N,L,N,H,N,Normal,VH,1,4
