ID,Name,Pos,Age,Height,Bats,Throws,Cntct,Gap,Pow,Eye,Ks,BABIP,Cntct_R,Gap_R,Pow_R,Eye_R,Ks_R,BABIP_R,Cntct_L,Gap_L,Pow_L,Eye_L,Ks_L,BABIP_L,PotCntct,PotGap,PotPow,PotEye,PotKs,PotBABIP,IFR,IFE,IFA,TDP,OFR,OFE,OFA,CBlk,CArm,CFrm,P,C,1B,2B,3B,SS,LF,CF,RF,PotP,PotC,Pot1B,Pot2B,Pot3B,PotSS,PotLF,PotCF,PotRF,Speed,StlRt,Steal,Run,SacBunt,BuntHit,Stf,Mov,HRA,PBABIP,Ctrl_R,Stf_R,Mov_R,HRA_R,PBABIP_R,Ctrl_L,Stf_L,Mov_L,HRA_L,PBABIP_L,Ctrl_L,PotStf,PotMov,PotHRA,PotPBABIP,PotCtrl,Vel,GB,Stm,Hold,Fst,Snk,Cutt,Crv,Sld,Chg,Splt,Frk,CirChg,Scr,Kncrv,Knbl,PotFst,PotSnk,PotCutt,PotCrv,PotSld,PotChg,PotSplt,PotFrk,PotCirChg,PotScr,PotKncrv,PotKnbl,Int,WrkEthic,Greed,Loy,Lead,Signability,Demand,Acc,Ovr,Pot
61856,"Addison Anderson",2B,22,182,R,R,45,35,30,40,45,40,40,35,30,40,45,40,45,35,35,40,45,40,50,45,40,45,55,50,40,40,35,70,35,45,30,20,20,20,0,0,0,40,0,0,0,0,0,0,0,0,45,0,0,0,0,0,40,35,35,20,55,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,20,25,88-90,62,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,L,N,L,L,N,0,VH,30,40
58550,"Mike Anderson",RP,19,186,R,R,20,20,20,25,20,20,20,20,20,25,20,20,20,20,20,25,20,20,35,30,30,45,40,30,30,25,50,20,35,25,20,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,20,20,20,20,70,20,30,30,30,45,20,30,30,30,45,20,30,30,30,45,20,50,45,45,45,30,94-96,58,25,35,45,0,0,35,0,0,0,0,0,0,0,0,70,0,0,55,0,0,0,0,0,0,0,0,N,N,N,N,L,H,0,VH,25,35
63923,"Pete Anderson",2B,21,182,R,R,40,45,45,45,35,45,40,45,45,45,35,45,40,45,45,45,40,45,50,70,55,70,50,55,50,55,35,65,50,55,45,25,35,25,0,0,0,45,0,30,0,0,0,0,0,0,50,0,35,0,0,0,60,50,55,45,45,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,30,20,25,88-90,58,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,900000,A,35,60
62828,"Esteban Angviano",LF,21,193,R,R,30,35,35,40,30,30,30,35,35,40,30,30,30,35,35,40,30,30,35,40,45,50,35,40,30,30,30,30,45,40,45,20,20,20,0,0,0,0,0,0,40,0,25,0,0,0,0,0,0,45,0,35,40,25,30,30,55,25,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,30,30,30,25,87-89,59,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,H,0,H,25,35
57611,"Mike Ankner",3B,21,187,R,R,35,35,30,30,30,35,35,35,30,30,30,35,35,35,30,30,30,35,80,75,40,50,65,80,45,50,50,40,25,55,50,20,20,20,0,0,0,0,30,25,0,0,0,0,0,0,0,40,35,0,0,0,80,65,60,65,70,55,20,20,20,35,20,20,20,20,30,20,20,20,20,35,20,20,30,30,35,25,80-83,58,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,H,N,H,N,E,4200000,VH,25,75
60639,"Kevin Antonini",SP,21,193,R,R,20,20,20,20,20,25,20,20,20,20,20,25,20,20,20,20,20,25,30,30,25,30,25,30,25,30,35,25,35,35,35,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,25,30,30,20,80,20,35,30,30,40,20,35,30,30,40,20,35,30,30,40,20,40,45,45,40,20,89-91,45,40,45,40,0,0,35,35,40,0,0,0,0,0,0,40,0,0,40,40,45,0,0,0,0,0,0,N,L,L,H,N,VE,0,VH,25,30
61915,"Juan Aparicio",SS,21,186,R,R,40,35,30,40,40,40,40,35,30,40,40,40,40,35,30,40,45,40,50,45,35,50,55,50,45,40,40,60,50,55,50,20,20,20,0,0,0,30,25,25,45,0,40,0,0,0,40,30,30,55,0,50,40,30,30,20,50,20,20,20,25,20,20,20,20,25,20,20,20,20,25,20,20,20,25,30,20,25,80-83,50,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,0,VH,30,40
62808,"Juan Arana",2B,18,184,S,R,25,25,25,30,20,25,25,25,25,30,20,25,25,25,25,30,20,25,40,45,40,50,40,45,50,50,35,45,25,35,30,20,20,20,0,0,0,30,0,0,0,0,0,0,0,0,45,0,0,0,0,0,50,45,55,45,65,25,20,20,20,25,20,20,20,20,25,20,20,20,20,25,20,20,20,20,25,25,83-85,49,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,H,N,EH,0,VH,25,35
60957,"Eddie Arnold",SP,18,181,L,L,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,30,40,30,30,30,25,40,20,35,35,45,20,20,20,35,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,25,20,20,20,75,20,25,30,25,45,25,25,30,25,40,25,25,30,25,45,25,45,45,45,45,50,90-92,53,45,75,35,0,25,0,0,20,0,0,0,0,0,0,50,0,55,0,0,55,0,0,0,0,0,0,L,N,N,N,N,H,0,VH,20,45
63896,"Jesus Arredondo",RP,21,186,R,R,20,20,30,25,20,20,20,20,30,25,20,20,20,20,30,25,20,20,25,25,30,35,20,25,30,35,45,25,55,55,60,20,20,25,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,25,20,20,20,80,20,40,20,20,45,30,40,20,20,50,30,35,20,20,40,30,50,25,20,45,40,90-92,39,35,55,40,0,0,0,40,0,0,0,0,0,0,0,50,0,0,0,55,0,0,0,0,0,0,0,N,N,N,N,N,H,0,A,20,25
58704,"David Arriola",SP,20,201,R,R,25,20,20,20,25,20,25,20,20,20,25,20,25,20,20,20,25,20,40,30,20,30,40,40,30,30,45,30,35,25,30,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,20,25,20,20,65,20,20,20,20,40,30,20,25,20,45,30,20,20,20,40,30,30,40,40,40,45,90-92,40,40,65,30,0,0,20,25,20,0,0,0,0,0,0,45,0,0,35,35,35,0,0,0,0,0,0,N,N,N,N,N,H,0,VH,20,30
56594,"David Arroyo",RP,22,194,L,L,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,30,25,30,35,20,30,30,45,20,30,30,50,20,25,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,30,25,20,20,70,20,40,30,30,45,30,40,30,30,40,30,45,35,30,45,30,40,45,45,45,35,95-97,45,25,55,45,0,0,0,40,0,0,0,0,0,0,0,50,0,0,0,45,0,0,0,0,0,0,0,N,N,N,N,N,VE,0,VH,30,35
61931,"Jesus Arroyo",RP,22,183,L,L,25,20,20,25,20,25,25,20,20,25,20,25,20,20,20,25,20,25,30,30,20,30,20,35,35,35,50,20,45,40,50,20,25,20,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,30,25,25,35,65,25,45,45,45,55,35,45,45,45,50,35,50,50,50,60,35,70,60,65,55,45,93-95,62,25,80,50,0,0,0,50,0,0,0,0,0,0,0,80,0,0,0,80,0,0,0,0,0,0,0,H,H,N,H,H,E,0,VH,35,55
61834,"Luis Arteaga",CL,21,186,L,L,20,20,20,25,20,20,20,20,20,25,20,20,20,20,20,25,20,20,25,30,30,30,25,25,30,35,55,20,35,40,45,20,20,20,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,20,20,20,25,55,20,50,45,45,50,40,50,45,45,50,40,50,45,45,50,40,70,60,65,50,50,95-97,57,35,75,60,0,0,0,0,0,0,0,55,0,0,0,80,0,0,0,0,0,0,0,80,0,0,0,N,H,L,N,N,E,0,VH,40,60
60990,"Foster Arthurs",CF,18,183,L,L,25,25,25,25,20,25,25,25,25,25,25,25,20,25,25,25,20,25,45,45,50,50,45,45,40,35,35,20,50,40,35,20,20,20,0,0,0,0,0,0,20,30,0,0,0,0,0,0,0,50,30,0,40,30,25,40,35,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,89-91,42,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,N,L,N,N,EH,0,VH,25,40
60873,"Joe Assell",SS,18,185,R,R,25,25,25,25,30,20,25,25,25,25,30,20,25,25,25,25,30,20,50,45,50,45,55,50,60,60,65,55,30,35,40,20,20,20,0,0,0,0,25,35,0,0,0,0,0,0,0,60,55,0,0,0,40,35,40,30,45,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,35,20,25,86-88,62,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,L,H,N,L,EH,0,VH,25,40
62884,"Josh Atkinson",SP,21,183,L,R,20,20,20,25,20,20,20,20,20,25,20,20,20,20,20,25,20,20,25,25,25,30,20,25,30,30,55,20,45,50,45,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,25,25,25,20,60,20,40,35,30,40,20,40,35,35,40,20,40,35,30,40,20,45,45,45,40,25,91-93,51,75,35,40,40,0,40,0,0,0,0,0,0,0,0,50,50,0,55,0,0,0,0,0,0,0,0,N,N,H,N,N,N,0,VH,25,35
61057,"Nate Auer",SP,18,186,R,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,25,30,30,35,30,25,45,20,35,35,40,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,35,25,25,20,70,25,20,30,30,40,25,20,30,30,45,25,20,30,25,40,25,40,55,60,45,45,89-91,54,55,30,30,0,0,0,0,20,20,0,0,0,0,0,45,0,0,0,0,50,35,0,0,0,0,0,N,N,L,N,N,EH,420000,VH,20,45
63940,"Josh Ayala",SP,22,187,R,R,20,20,35,30,20,20,20,20,35,30,20,20,20,20,35,30,20,20,20,25,40,35,20,25,40,25,45,25,45,50,55,20,25,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,20,25,20,25,75,25,30,25,20,45,20,30,25,20,45,20,30,25,20,45,20,40,25,20,45,30,87-89,42,45,70,35,0,30,0,0,25,0,0,0,0,0,0,45,0,35,0,0,45,0,0,0,0,0,0,H,L,N,N,N,VE,0,A,20,25
61796,"Gabe Bachman",2B,22,186,R,R,40,40,35,40,45,40,40,40,35,40,45,40,45,40,35,45,45,40,50,50,40,45,55,50,55,45,35,45,35,40,25,25,25,30,0,0,0,40,0,0,0,0,0,0,0,0,45,0,0,0,0,0,65,55,55,50,55,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,25,20,25,86-88,44,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,L,N,N,E,0,VH,30,40
61741,"Maor Luca Backscheider",C,21,181,R,R,45,40,30,45,40,50,45,40,30,45,40,45,45,40,30,45,45,50,70,50,40,80,60,75,35,25,45,50,45,50,40,50,40,50,0,40,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,30,30,30,30,55,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,85-87,45,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,H,L,N,H,E,3800000,VH,35,80
61010,"Gene Badon",C,18,188,R,R,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,30,25,50,50,45,45,50,50,30,30,50,25,55,45,50,55,55,50,0,30,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,35,35,35,50,35,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,20,25,89-91,37,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,EH,0,VH,25,45
60743,"T.J. Baker",SP,22,182,L,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,20,25,30,25,20,30,35,35,20,35,40,45,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,25,20,20,30,60,20,30,25,25,35,20,30,25,20,35,20,30,25,25,35,20,35,35,35,35,25,87-89,45,55,40,30,0,30,0,0,30,0,0,0,0,0,0,40,0,40,0,0,35,0,0,0,0,0,0,N,N,N,N,N,E,0,VH,20,30
62821,"Talbot Balcome",RP,21,186,L,L,20,20,25,25,20,20,20,20,25,25,20,20,20,20,20,25,20,20,25,30,35,35,30,25,25,30,50,20,50,45,50,20,20,25,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,25,25,20,20,45,20,40,35,35,45,30,40,35,35,45,30,45,40,40,50,30,55,45,45,45,35,90-92,51,30,70,40,35,40,0,0,0,0,0,0,0,0,0,50,50,55,0,0,0,0,0,0,0,0,0,H,N,N,N,N,N,0,H,30,35
61067,"Joe Balistreri",RP,18,183,S,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,25,25,30,30,25,25,25,40,25,50,40,40,25,25,25,35,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,25,25,25,30,25,20,20,30,25,45,25,25,30,25,45,25,20,25,20,35,25,45,45,45,50,45,89-91,54,30,45,0,0,20,0,30,0,0,0,0,0,0,0,0,0,50,0,55,0,0,0,0,0,0,0,N,N,N,N,N,I,-1,VH,25,35
61869,"Kevin Ballard",CF,18,195,L,L,20,20,25,40,20,25,20,20,25,40,20,25,20,20,25,40,20,25,40,45,50,80,30,45,25,25,30,20,50,50,35,20,20,20,0,0,0,0,0,0,25,25,20,0,0,0,0,0,0,50,30,40,55,55,60,55,35,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,80-83,37,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,H,L,L,EH,0,VH,20,45
61911,"Jorge Barboza",LF,21,194,R,R,45,45,35,40,45,40,45,45,35,40,45,40,45,45,35,40,45,40,50,70,45,50,55,50,40,35,25,35,60,55,40,20,20,20,0,0,0,0,0,0,55,0,25,0,0,0,0,0,0,65,0,55,60,50,55,55,55,50,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,20,25,87-89,51,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,0,VH,35,45
63919,"Rfata Bardha",RP,19,192,L,L,20,20,20,25,25,20,20,20,20,25,25,20,20,20,20,20,20,20,25,25,25,35,30,30,30,30,45,20,40,45,45,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,25,25,30,35,70,20,40,30,25,50,20,40,30,25,50,20,40,30,25,50,20,75,35,35,50,30,91-93,53,30,70,40,0,0,45,0,0,0,0,0,0,0,0,65,0,0,80,0,0,0,0,0,0,0,0,N,H,L,H,N,E,0,H,25,35
60887,"Tim Barkley",3B,18,186,L,R,25,25,25,30,30,30,25,25,25,30,30,30,25,25,25,30,25,25,60,50,55,65,60,55,50,45,50,40,40,35,40,25,25,20,0,0,20,0,30,0,0,0,0,0,0,65,0,40,0,0,0,0,30,25,20,20,40,20,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,30,30,30,25,88-90,56,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,L,EH,1100000,VH,25,60
57598,"T.J. Barnard",LF,20,198,R,R,25,20,20,30,25,25,25,20,20,30,25,25,25,20,20,30,30,25,55,40,30,55,55,55,30,35,35,30,40,40,60,20,20,20,0,0,20,0,0,0,30,0,20,0,0,45,0,0,0,45,0,40,30,20,20,30,55,25,20,25,20,35,20,20,25,20,35,20,20,25,20,35,20,20,35,35,35,25,83-85,50,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,H,N,N,N,N,0,VH,25,40
60797,"Kevin Barnes",RP,22,185,S,R,20,20,20,25,20,25,20,20,20,25,20,25,25,20,20,25,20,25,30,20,20,30,25,35,30,30,50,25,35,35,45,25,25,25,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,25,25,20,30,40,30,35,20,20,35,20,35,20,20,35,20,35,20,20,35,20,40,25,20,35,25,88-90,37,35,60,35,0,0,0,0,25,30,0,0,0,0,0,40,0,0,0,0,40,40,0,0,0,0,0,N,N,N,N,L,VE,0,VH,20,25
57605,"Chris Barnhart",RP,21,206,L,R,25,20,20,20,25,25,25,20,20,20,25,25,20,20,20,20,20,25,45,40,25,35,40,45,30,30,40,20,45,30,35,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,20,25,20,35,70,25,35,20,20,45,20,40,20,20,45,20,35,20,20,40,20,50,20,20,45,30,95-97,41,25,70,45,0,0,0,40,0,0,0,0,0,0,0,70,0,0,0,65,0,0,0,0,0,0,0,N,N,H,N,N,E,0,VH,20,30
62848,"Luis Barrios",1B,21,184,L,L,40,35,35,45,35,40,40,35,35,45,40,40,35,30,30,40,35,40,50,45,45,60,50,50,30,55,35,20,50,45,40,20,20,20,0,0,40,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,50,50,55,45,60,55,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,20,25,89-91,42,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,L,H,0,VH,30,40
56967,"Tommy Barron",RP,22,197,L,L,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35,35,25,35,40,35,30,30,45,20,25,25,50,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,20,20,20,20,70,20,25,25,20,35,25,25,25,20,35,25,25,25,20,35,25,30,40,40,35,40,94-96,49,30,70,40,0,0,30,0,20,25,0,0,0,0,0,45,0,0,30,0,25,35,0,0,0,0,0,N,N,N,L,N,VE,0,VH,25,30
61884,"Jeremy Batten",SP,20,180,L,R,20,20,20,25,20,20,20,20,20,25,20,20,20,20,20,20,20,20,25,25,20,30,25,30,30,30,50,20,45,40,45,30,25,25,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,25,20,25,30,65,25,30,45,45,45,40,30,45,45,50,40,30,45,40,45,40,40,55,65,45,50,87-89,60,60,30,30,30,0,0,25,35,0,20,0,0,0,0,40,40,0,0,35,45,0,30,0,0,0,0,N,H,N,H,L,H,280000,VH,30,45
61030,"Ken Bauter",CF,17,182,R,R,25,30,25,30,25,25,25,30,25,30,25,25,25,30,25,30,30,25,55,80,45,50,55,55,30,25,40,20,60,40,50,25,25,25,0,0,0,0,0,0,25,30,20,0,0,0,0,0,0,65,45,55,65,65,60,70,75,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,90-92,38,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,H,L,L,H,0,VH,25,45
61049,"Tyshawn Baylark",LF,18,186,L,R,25,25,25,25,30,30,25,25,25,25,30,30,25,25,25,25,25,30,55,45,50,45,50,55,35,35,20,35,40,45,35,20,25,25,0,0,25,0,0,0,25,0,0,0,0,45,0,0,0,40,0,0,55,50,45,40,45,20,20,20,20,25,20,20,20,20,25,20,20,20,20,25,20,20,25,25,25,25,83-85,49,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,L,EH,0,VH,25,45
