ID,Name,Pos,Age,Team,Org,League_Level,VOS_Score,VOS_Potential,Batting_Score,Batting_Potential,Defense_Score,Baserunning_Score,Pitching_Ability_Score,Pitching_Ability_Potential,Pitching_Arsenal_Score,Development_Adj,Age_Adj,Personality_Adj,Park_Name,Park_Applied,C_Score,1B_Score,2B_Score,3B_Score,SS_Score,LF_Score,CF_Score,RF_Score,DH_Score,Ideal_Position,Ideal_Value
23310,Ezequiel Saldivar,C,27.0,Los Angeles Dodgers,Los Angeles Dodgers,ML,57.49,56.53,50.0,51.0,56.75,24.0,,,,1.06,0.0,0.5,N/A,False,53.42,,,,,,,,50.0,C,53.42
23439,Alfredo Vigil,SP,30.0,,,,38.84,38.84,,,,,41.75,41.75,38.58,0.0,0.0,0.0,N/A,False,,,,,,,,,,SP,41.12
23562,David del Cid,SP,25.0,,,,38.44,38.44,,,,,37.5,37.5,52.95,0.0,0.0,0.0,N/A,False,,,,,,,,,,SP,40.59
23568,Bobby Presley,CF,31.0,,,,59.21,58.21,46.0,46.0,54.75,45.0,,,,1.0,0.0,-2.0,N/A,False,,45.25,,,,48.0,57.65,47.4,46.0,CF,57.65
23569,Randy Davidson,RP,28.0,Omaha Storm Chasers,Kansas City Royals,AAA,42.44,43.24,,,,,45.0,47.25,40.79,1.0,-1.5,1.5,N/A,False,,,,,,,,,,RP,43.95
23589,Sean Harris,SP,32.0,,,,51.0,48.83,,,,,48.5,48.5,50.45,1.12,0.0,0.5,N/A,False,,,,,,,,,,SP,48.89
23645,Steve Reynolds,SP,27.0,,,,46.5,48.66,,,,,40.75,43.5,62.5,0.92,0.0,2.0,N/A,False,,,,,,,,,,SP,45.1
23668,Andres Rojas,3B,31.0,Miami Marlins,Miami Marlins,ML,64.36,63.19,62.75,62.75,56.38,65.5,,,,2.0,-3.0,2.0,N/A,False,,62.71,,62.77,,61.11,,61.41,62.75,3B,62.77
23846,Steve Bartlett,2B,29.0,Chicago Cubs,Chicago Cubs,ML,50.22,48.32,50.0,50.0,51.7,35.25,,,,1.0,-2.4,0.0,N/A,False,,49.46,49.54,51.51,,48.26,,48.67,50.0,3B,51.51
24193,Andy Abner,RP,32.0,Boston Red Sox,Boston Red Sox,ML,46.65,45.25,,,,,49.25,49.25,52.95,0.94,-3.0,0.0,N/A,False,,,,,,,,,,RP,50.17
24258,Gil Menconi,SP,31.0,,,,36.58,36.58,,,,,42.75,42.75,40.8,0.0,0.0,-2.0,N/A,False,,,,,,,,,,SP,39.86
24892,Wilson Espinal,SP,23.0,Wichita Wind Surge,Minnesota Twins,AA,40.31,45.34,,,,,38.5,44.0,35.2,0.0,2.5,2.5,N/A,False,,,,,,,,,,SP,37.84
24939,Anthony Volpe,DH,39.0,Colorado Rockies,Colorado Rockies,ML,65.16,64.11,61.25,61.25,52.15,61.25,,,,2.0,-3.0,5.0,N/A,False,,61.33,58.21,56.86,,59.08,,58.96,61.25,1B,61.33
24972,Tim LaPointe,RP,32.0,New York Mets,New York Mets,ML,44.43,43.27,,,,,49.0,49.0,47.66,0.92,-3.0,0.0,N/A,False,,,,,,,,,,RP,48.67
24991,Julio Ovalle,RP,23.0,Greenville Drive,Boston Red Sox,A,37.62,38.43,,,,,39.5,41.0,49.33,0.0,-2.5,0.0,N/A,False,,,,,,,,,,RP,41.96
25100,Bobby Wells,2B,28.0,,,,48.17,50.44,38.5,42.5,56.9,31.75,,,,0.0,0.0,-2.0,N/A,False,,39.81,47.72,46.26,51.02,,,39.85,38.5,SS,51.02
25130,Julio Ramirez,SP,27.0,St. Louis Cardinals,St. Louis Cardinals,ML,61.05,61.28,,,,,52.75,54.5,69.7,1.1,1.0,0.5,N/A,False,,,,,,,,,,SP,56.14
25204,Amari Liburd,SP,32.0,,,,51.45,49.29,,,,,48.5,48.5,49.18,1.12,0.0,1.0,N/A,False,,,,,,,,,,SP,48.64
25279,Kevon Tolefree,SS,32.0,Boston Red Sox,Boston Red Sox,ML,59.73,58.77,45.0,45.0,61.55,49.5,,,,1.0,-3.0,1.0,N/A,False,,47.62,55.58,54.0,58.2,,,44.78,45.0,SS,58.2
25439,Shou-xin Lo,RP,24.0,,,,39.14,39.14,,,,,39.0,39.0,36.95,0.0,0.0,3.0,N/A,False,,,,,,,,,,RP,38.49
25563,Gianluca Ciampi,SS,31.0,,,,50.54,50.54,40.5,40.5,47.56,66.0,,,,0.0,0.0,2.5,N/A,False,,42.32,47.77,,,43.84,,44.1,40.5,2B,47.77
25809,Terrance Creo,RP,36.0,Montgomery Biscuits,Tampa Bay Rays,AA,42.51,41.42,,,,,47.75,47.75,40.7,1.02,-3.0,1.0,N/A,False,,,,,,,,,,RP,45.99
25906,Juan MacPhail,1B,28.0,Wichita Wind Surge,Minnesota Twins,AA,47.27,45.71,51.0,51.0,50.08,39.75,,,,1.0,-3.0,-0.5,N/A,False,,50.94,50.1,,,48.64,,,51.0,DH,51.0
25914,Lebarron Williams,CL,26.0,Round Rock Express,Texas Rangers,AAA,55.67,57.16,,,,,46.5,49.5,65.32,1.04,1.25,0.0,N/A,False,,,,,,,,,,RP,51.21
26073,Mike Hoffner,RP,26.0,,,,39.39,40.73,,,,,38.75,40.75,52.9,0.0,0.0,-0.5,N/A,False,,,,,,,,,,RP,42.29
26572,Yoo-hyun Kim,SP,23.0,,,,35.99,35.99,,,,,41.5,41.5,48.3,0.0,0.0,-1.0,N/A,False,,,,,,,,,,SP,37.86
35035,Juan Baca,SP,23.0,St. Paul Saints,Minnesota Twins,AAA,44.26,46.25,,,,,45.0,48.25,56.3,1.19,2.5,0.5,N/A,False,,,,,,,,,,SP,42.26
35040,Steve Garrett,3B,29.0,Detroit Tigers,Detroit Tigers,ML,54.18,53.31,46.0,47.0,58.4,72.75,,,,1.06,-2.4,-1.0,N/A,False,,48.84,,54.76,,50.14,53.35,50.4,46.0,3B,54.76
35497,Sam Foltz,RP,32.0,Tampa Bay Rays,Tampa Bay Rays,ML,47.13,45.68,,,,,49.25,49.25,52.15,0.94,-3.0,0.5,N/A,False,,,,,,,,,,RP,49.98
35709,Kevin Simon,SP,25.0,Milwaukee Brewers,Milwaukee Brewers,ML,47.54,47.21,,,,,48.25,49.25,65.3,1.0,2.5,-1.5,N/A,False,,,,,,,,,,SP,46.66
36021,Vladimir Guerrero Jr.,1B,41.0,Toronto Blue Jays,Toronto Blue Jays,ML,53.53,51.88,51.5,51.5,48.08,43.5,,,,1.0,-3.0,2.5,N/A,False,,50.25,,,,50.21,,50.93,51.5,DH,51.5
36068,Chris Dockery,RP,32.0,Durham Bulls,Tampa Bay Rays,AAA,44.67,43.23,,,,,46.5,46.5,49.03,1.12,-3.0,1.5,N/A,False,,,,,,,,,,RP,47.13
36272,J.J. Lawrence,SP,28.0,,,,47.88,46.25,,,,,45.0,45.0,46.8,1.0,0.0,2.5,N/A,False,,,,,,,,,,SP,45.36
36292,Hunter Barco,RP,39.0,New York Mets,New York Mets,ML,41.62,40.51,,,,,46.5,46.5,44.75,1.12,-3.0,0.0,N/A,False,,,,,,,,,,RP,46.06
36455,Juan de Dios Gribben,2B,29.0,,,,52.29,53.05,44.5,46.25,56.0,55.25,,,,0.06,0.0,-2.5,N/A,False,,46.29,51.43,52.69,53.67,,,45.8,44.5,SS,53.67
36483,Fidel Savala,SP,27.0,,,,40.49,40.49,,,,,43.25,43.25,57.2,0.0,0.0,-0.5,N/A,False,,,,,,,,,,SP,43.54
36518,Sean Nale,RP,28.0,California Angels,California Angels,ML,58.72,57.57,,,,,51.0,51.0,63.25,1.08,0.0,1.0,N/A,False,,,,,,,,,,RP,54.06
36676,Bobby Dwyer,RF,29.0,Mississippi Braves,Atlanta Braves,AA,52.89,51.15,48.0,48.0,57.17,29.5,,,,1.0,-3.0,1.0,N/A,False,,,,,,47.28,52.6,47.88,48.0,CF,52.6
38022,Kevin DiPietro,SP,29.0,,,,39.47,39.47,,,,,45.25,45.25,43.43,0.0,0.0,2.0,N/A,False,,,,,,,,,,SP,39.89
38141,Jimmy Hutchison,CF,32.0,,,,62.87,62.87,41.5,41.5,66.17,62.25,,,,0.0,0.0,2.0,N/A,False,,,,,,47.21,59.27,47.18,41.5,CF,59.27
38172,Robby Borden,SP,28.0,,,,37.19,37.73,,,,,35.75,36.75,51.08,0.0,0.0,0.0,N/A,False,,,,,,,,,,SP,38.82
38231,Mike Gaylord,SP,30.0,,,,38.34,38.34,,,,,39.5,39.5,61.8,0.0,0.0,-1.0,N/A,False,,,,,,,,,,SP,41.46
38234,Doug Wright,LF,29.0,,,,49.08,49.65,40.25,41.25,58.5,58.25,,,,0.0,0.0,-3.0,N/A,False,,,,,,44.6,52.52,45.09,40.25,CF,52.52
38314,Tim Van Arsdall,1B,32.0,,,,46.47,45.0,46.5,46.5,46.0,38.5,,,,1.0,0.0,0.5,N/A,False,,,,,,45.48,,45.77,46.5,DH,46.5
38324,Nelson Ozuna,SP,28.0,New York Yankees,New York Yankees,ML,50.9,51.67,,,,,49.25,51.0,65.42,0.98,0.0,-3.0,N/A,False,,,,,,,,,,SP,52.49
38339,Chris Brooks,C,28.0,,,,53.03,53.91,44.25,47.0,45.0,21.0,,,,0.12,0.0,2.0,N/A,False,49.56,,,,,40.84,,41.96,44.25,C,49.56
38348,Kymani Alabre,SP,28.0,Iowa Cubs,Chicago Cubs,AAA,43.15,41.97,,,,,48.5,48.5,46.1,1.04,-1.5,0.5,N/A,False,,,,,,,,,,SP,45.52
38386,Andy Proctor,1B,28.0,,,,49.51,47.69,46.25,46.25,43.0,50.25,,,,1.0,0.0,2.5,N/A,False,,46.12,,,,,,,46.25,DH,46.25
38392,Kevin Maxwell,SP,25.0,Syracuse Mets,New York Mets,AAA,50.79,51.98,,,,,46.25,47.25,58.8,0.15,2.5,-1.0,N/A,False,,,,,,,,,,SP,48.76
38396,Pete Makanamaikai,LF,29.0,Tacoma Rainiers,Seattle Mariners,AAA,51.63,52.46,43.5,45.5,56.17,59.5,,,,0.12,-3.0,0.5,N/A,False,,,,,,46.94,53.24,46.9,43.5,CF,53.24
38400,T.J. Suchomel,SP,30.0,New York Mets,New York Mets,ML,47.08,45.66,,,,,49.5,49.5,51.32,0.92,-2.4,0.0,N/A,False,,,,,,,,,,SP,49.87
38406,Stanford Nippard,3B,30.0,Cleveland Guardians,Cleveland Guardians,ML,58.37,57.27,48.25,48.25,57.8,61.5,,,,1.0,-3.0,0.0,N/A,False,,49.69,52.84,57.8,54.52,,,50.29,48.25,3B,57.8
38408,Arturo Galarza,3B,28.0,Durham Bulls,Tampa Bay Rays,AAA,63.77,63.16,55.25,55.25,56.95,64.5,,,,1.0,-3.0,4.5,N/A,False,,55.89,58.88,59.2,60.22,,,54.11,55.25,SS,60.22
38585,Francisco Alvarez,C,38.0,New York Mets,New York Mets,ML,55.64,54.25,52.75,52.75,48.54,57.75,,,,1.0,-3.0,-0.5,N/A,False,55.98,53.12,49.09,50.86,,51.98,,52.01,52.75,C,55.98
38689,Mike Mann,SP,28.0,Durham Bulls,Tampa Bay Rays,AAA,41.07,40.16,,,,,47.25,47.25,51.9,0.96,-1.5,-1.5,N/A,False,,,,,,,,,,SP,45.68
38703,Michael Harris II,CF,39.0,,,,58.55,57.47,46.0,46.0,61.88,53.75,,,,1.0,0.0,-1.0,N/A,False,,47.39,,,,49.51,55.98,49.85,46.0,CF,55.98
39423,David Amaya,SP,26.0,Sacramento River Cats,San Francisco Giants,AAA,40.57,42.77,,,,,42.25,45.0,42.43,0.08,1.25,-0.5,N/A,False,,,,,,,,,,SP,42.29
39439,Jon Carlsen,C,30.0,Texas Rangers,Texas Rangers,ML,62.0,60.43,60.0,60.0,46.5,58.25,,,,2.0,-3.0,1.0,N/A,False,50.46,,,,,,,,60.0,DH,60.0
39459,Mike Wagner,SP,31.0,,,,38.07,38.07,,,,,39.0,39.0,52.0,0.0,0.0,-1.5,N/A,False,,,,,,,,,,SP,41.6
39576,Jose Nodal,SP,38.0,Arizona Diamondbacks,Arizona Diamondbacks,ML,52.87,49.35,,,,,54.0,54.0,47.35,1.92,-3.0,0.0,N/A,False,,,,,,,,,,SP,52.67
39855,Alan Laverty,2B,28.0,,,,42.86,43.53,41.25,42.5,53.75,42.25,,,,0.0,0.0,-2.0,N/A,False,,42.47,47.31,,,,,,41.25,2B,47.31
39893,Ben Joyce,SP,40.0,Biloxi Shuckers,Milwaukee Brewers,AA,37.3,36.61,,,,,50.75,50.75,44.0,1.08,-3.0,-1.0,N/A,False,,,,,,,,,,SP,41.9
39895,Arturo Wisdom,CL,29.0,Nashville Sounds,Milwaukee Brewers,AAA,62.48,61.05,,,,,54.25,54.25,68.25,1.94,-3.0,4.0,N/A,False,,,,,,,,,,RP,57.75
39898,Danny Gallagher,RP,33.0,Reading Fightin Phils,Philadelphia Phillies,AA,44.29,43.12,,,,,46.75,46.75,41.9,0.94,-3.0,3.0,N/A,False,,,,,,,,,,RP,45.54
39904,Zach Black,RF,30.0,,,,61.06,60.23,45.0,45.0,58.5,54.5,,,,1.0,0.0,4.0,N/A,False,,,,,,47.79,53.76,48.28,45.0,CF,53.76
39921,Juan Arechiga,3B,26.0,Chicago White Sox,Chicago White Sox,ML,62.04,60.49,56.25,56.25,50.19,56.25,,,,2.0,1.2,0.5,N/A,False,,55.52,51.75,56.36,,,,55.16,56.25,3B,56.36
39931,Kellen Kinser,LF,26.0,Houston Astros,Houston Astros,ML,59.07,58.05,50.0,50.0,49.83,53.0,,,,1.0,1.2,3.5,N/A,False,,,,,,50.15,50.8,50.22,50.0,CF,50.8
39988,Sergio Zawadzki,C,32.0,Baltimore Orioles,Baltimore Orioles,ML,57.65,56.49,52.75,52.75,49.62,37.5,,,,1.0,-3.0,2.0,N/A,False,55.14,50.91,,,,,,,52.75,C,55.14
39989,Will Klein,CL,40.0,Houston Astros,Houston Astros,ML,55.63,52.98,,,,,56.0,56.0,56.62,1.81,-3.0,-1.5,N/A,False,,,,,,,,,,RP,56.16
40001,Dusty LaVoie,RP,26.0,California Angels,California Angels,ML,62.91,62.3,,,,,51.5,51.5,73.17,0.92,2.0,1.5,N/A,False,,,,,,,,,,RP,56.92
40134,Mike Creasy,SP,28.0,Cincinnati Reds,Cincinnati Reds,ML,50.02,49.55,,,,,46.25,47.25,44.85,1.04,0.0,3.0,N/A,False,,,,,,,,,,SP,45.97
40187,Andres Preciado,1B,28.0,San Diego Padres,San Diego Padres,ML,54.59,53.86,46.5,47.75,52.25,65.0,,,,1.06,-1.2,0.0,N/A,False,,48.17,52.85,50.12,,48.27,,,46.5,2B,52.85
40216,Eury Perez,SP,37.0,,,,43.32,43.22,,,,,46.25,46.25,43.1,0.08,0.0,0.0,N/A,False,,,,,,,,,,SP,45.62
40305,Rickey Littleton,C,27.0,,,,45.35,45.81,37.25,38.5,46.25,25.75,,,,0.0,0.0,-1.5,N/A,False,48.75,36.75,,,,,,,37.25,C,48.75
40306,Phil Storer,RF,30.0,,,,55.0,53.53,52.0,52.0,51.19,23.5,,,,1.0,0.0,0.0,N/A,False,,49.87,46.0,,,49.86,,50.05,52.0,DH,52.0
40333,Ward Trenholm,2B,31.0,Sacramento River Cats,San Francisco Giants,AAA,56.53,55.24,45.5,45.5,53.25,53.75,,,,1.0,-3.0,-0.5,N/A,False,,46.26,53.41,,56.67,45.5,,,45.5,SS,56.67
40435,Rogelio Rosado,SP,27.0,,,,32.81,33.11,,,,,24.0,25.0,50.9,0.0,0.0,3.0,N/A,False,,,,,,,,,,SP,26.88
40452,Zaire Casterlow,C,27.0,,,,45.0,45.0,44.0,44.0,0.0,43.75,,,,0.0,0.0,3.0,N/A,False,,,,,,,,,44.0,DH,44.0
40453,Pete Crawford,CL,26.0,Las Vegas Aviators,Las Vegas Athletics,AAA,54.16,53.19,,,,,49.25,49.75,52.9,1.0,1.25,0.0,N/A,False,,,,,,,,,,RP,50.16
40457,Jeremy Nutting,2B,26.0,,,,55.0,53.53,48.0,48.0,0.0,48.75,,,,1.0,0.0,4.0,N/A,False,,,,,,,,,48.0,DH,48.0
40458,Edgar Benavides,RP,25.0,Chicago Cubs,Chicago Cubs,ML,60.23,64.98,,,,,51.5,62.75,65.62,1.23,2.5,-1.0,N/A,False,,,,,,,,,,RP,55.03
40459,Alfredo Romero,RP,30.0,Reno Aces,Arizona Diamondbacks,AAA,35.01,35.01,,,,,41.25,41.25,34.3,0.0,-3.0,-1.5,N/A,False,,,,,,,,,,RP,39.51
40460,Terrell Buckhanon,SP,26.0,,,,35.72,37.29,,,,,31.5,34.75,55.88,0.0,0.0,0.0,N/A,False,,,,,,,,,,SP,36.38
40465,Jessie Edwards,LF,27.0,Chicago Cubs,Chicago Cubs,ML,63.5,62.2,55.0,55.0,58.67,51.75,,,,2.0,0.0,3.0,N/A,False,,,,,,55.16,57.27,55.28,55.0,CF,57.27
40467,Blake Buggins,RP,21.0,Fredericksburg Nationals,Washington Nationals,A,48.3,60.69,,,,,36.5,49.5,76.4,0.54,2.08,0.0,N/A,False,,,,,,,,,,RP,46.48
40468,Joe Carlton,SP,26.0,Harrisburg Senators,Washington Nationals,AA,44.25,44.25,,,,,42.5,42.5,59.72,0.0,-2.0,2.5,N/A,False,,,,,,,,,,SP,45.95
40478,Josh Phillips,SP,26.0,Sugar Land Space Cowboys,Houston Astros,AAA,53.92,52.49,,,,,45.5,45.5,53.55,0.9,1.25,3.0,N/A,False,,,,,,,,,,SP,47.11
40485,Rob Gini,CF,26.0,Biloxi Shuckers,Milwaukee Brewers,AA,59.27,59.56,41.25,42.25,56.35,68.25,,,,0.0,-3.0,2.0,N/A,False,,42.88,48.23,,,46.99,57.71,46.91,41.25,CF,57.71
40488,David Ponce De Leon,RP,24.0,,,,33.59,34.32,,,,,29.5,31.75,39.02,0.0,0.0,0.0,N/A,False,,,,,,,,,,RP,31.88
40491,Jim Leach,RP,26.0,El Paso Chihuahuas,San Diego Padres,AAA,56.84,57.68,,,,,46.25,48.5,52.15,0.96,1.25,4.5,N/A,False,,,,,,,,,,RP,47.73
40493,Randy Cook,C,27.0,,,,43.84,44.24,40.25,41.5,41.83,21.25,,,,0.0,0.0,0.0,N/A,False,46.12,39.38,,,,,,37.49,40.25,C,46.12
40495,Latrell Teferi,2B,31.0,,,,50.49,48.57,51.25,51.25,48.38,41.75,,,,1.0,0.0,-2.0,N/A,False,,50.55,48.72,,,,,,51.25,DH,51.25
40497,Steve Gudgell,2B,27.0,Frisco RoughRiders,Texas Rangers,AA,53.01,51.29,51.0,51.0,53.0,48.75,,,,1.0,-3.0,2.0,N/A,False,,51.09,51.67,,,,,,51.0,2B,51.67
40499,Sam LeMay,2B,25.0,Tennessee Smokies,Chicago Cubs,AA,45.75,45.75,37.0,37.0,50.88,58.75,,,,0.0,-2.0,-1.5,N/A,False,,39.59,47.84,,51.02,39.4,,,37.0,SS,51.02
40500,Brendan Perks,SP,27.0,Seattle Mariners,Seattle Mariners,ML,56.42,55.08,,,,,54.0,54.0,51.8,1.02,1.0,-1.5,N/A,False,,,,,,,,,,SP,53.56
40503,Tim Reese,C,27.0,Scranton WB RailRiders,New York Yankees,AAA,56.56,56.56,40.0,40.0,51.38,23.5,,,,0.0,-1.5,2.0,N/A,False,53.7,,,,,,,38.65,40.0,C,53.7
40507,Skyler Halsey,LF,26.0,,,,40.93,41.95,41.5,42.5,44.5,21.0,,,,0.0,0.0,2.0,N/A,False,,40.42,,,,39.83,,40.5,41.5,DH,41.5
40513,Ben Buhlig,SP,26.0,,,,41.92,42.81,,,,,41.5,42.5,58.85,0.0,0.0,-0.5,N/A,False,,,,,,,,,,SP,44.97
40516,Josh Gaither,RF,27.0,Seattle Mariners,Seattle Mariners,ML,56.68,55.41,50.5,50.5,53.25,66.75,,,,1.0,0.0,0.5,N/A,False,,,,,,52.28,,52.8,50.5,RF,52.8
40517,Pat Hunter,SP,26.0,Arizona Diamondbacks,Arizona Diamondbacks,ML,59.41,59.16,,,,,50.0,51.0,61.45,1.06,2.0,1.5,N/A,False,,,,,,,,,,SP,52.29
40518,Chris Uribe,C,27.0,,,,41.18,40.22,43.25,43.25,42.75,22.25,,,,1.0,0.0,-0.5,N/A,False,40.8,42.07,,42.99,,,,,43.25,DH,43.25
40522,Dusty Hudson,SP,26.0,Pittsburgh Pirates,Pittsburgh Pirates,ML,50.41,48.73,,,,,47.25,47.25,47.68,0.88,2.0,0.0,N/A,False,,,,,,,,,,SP,47.34
40538,Mike Webb,SP,27.0,,,,33.91,35.88,,,,,34.25,39.25,48.8,0.0,0.0,-2.0,N/A,False,,,,,,,,,,SP,34.66
40540,Mike Wierzbicki,SP,31.0,,,,42.19,42.19,,,,,41.5,41.5,50.1,0.0,0.0,1.5,N/A,False,,,,,,,,,,SP,43.22
40541,Andres Lantan,C,23.0,Arkansas Travelers,Seattle Mariners,AA,53.31,55.82,38.75,47.75,47.5,34.0,,,,0.5,2.0,0.0,N/A,False,49.36,39.14,40.3,,,,,,38.75,C,49.36
40543,Carson Coolen,SS,26.0,Somerset Patriots,New York Yankees,AA,42.19,43.05,40.25,42.75,50.96,35.0,,,,0.0,-3.0,-1.0,N/A,False,,41.06,46.03,46.85,48.72,40.02,,40.81,40.25,SS,48.72
40544,Chris Molina,RP,26.0,,,,43.88,42.97,,,,,47.0,47.0,54.63,0.75,0.0,-3.5,N/A,False,,,,,,,,,,RP,48.91
40549,Sergio Pineda,SP,30.0,Montgomery Biscuits,Tampa Bay Rays,AA,44.57,43.22,,,,,46.75,46.75,46.1,1.06,-3.0,2.0,N/A,False,,,,,,,,,,SP,46.62
40551,Bob Best,1B,30.0,,,,55.26,53.82,49.0,49.0,47.7,54.75,,,,1.0,0.0,2.0,N/A,False,,49.49,48.45,50.19,,48.98,,48.98,49.0,3B,50.19
40554,Alfredo Caban,C,24.0,,,,52.07,52.6,36.25,37.5,46.75,23.5,,,,0.0,0.0,1.5,N/A,False,49.61,,,39.1,,,,35.54,36.25,C,49.61
40565,Chris Carter,SP,26.0,,,,31.22,31.62,,,,,28.5,30.25,45.45,0.0,0.0,0.5,N/A,False,,,,,,,,,,SP,24.39
40614,Min-ho Kim,RP,22.0,Hillsboro Hops,Arizona Diamondbacks,A,37.76,43.73,,,,,36.5,45.0,51.16,0.0,0.0,-0.5,N/A,False,,,,,,,,,,RP,40.17
40615,Jeff Simms,2B,26.0,,,,52.27,52.27,35.5,35.5,52.3,50.75,,,,0.0,0.0,1.0,N/A,False,,37.71,46.25,44.81,50.23,,,38.23,35.5,SS,50.23
40619,Ismael Rivera,RF,26.0,,,,36.62,37.09,38.5,39.5,45.33,32.75,,,,0.0,0.0,-1.5,N/A,False,,38.36,,,,39.27,,39.42,38.5,RF,39.42
40620,Jody Skidmore,3B,27.0,Scranton WB RailRiders,New York Yankees,AAA,49.17,48.82,45.0,46.75,50.56,35.25,,,,1.06,-1.5,1.0,N/A,False,,45.21,45.71,49.01,,,,44.25,45.0,3B,49.01
